Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5873636,2796,5870840,13571791,2796,13568995,1198727,2796,1195931,15074058,2796,15071262,29006981,2796,29004185,6761640,2796,6758844,23324015,2796,23321219,43562550,2796,43559754,34241176,2796,34238380,9611065,2796,9608269,37161020,2796,37158224,13729780,2796,13726984
2,5125480,2975,5122505,11716837,2975,11713861,767713,2975,764738,13579903,2975,13576928,26624475,2975,26621500,5793314,2975,5790339,21761733,2975,21758758,40803490,2975,40800514,32496129,2975,32493153,8901994,2975,8899018,35169468,2975,35166493,12910504,2975,12907529
3,5125480,2975,5122505,11716837,2975,11713861,767713,2975,764738,13579903,2975,13576928,26624475,2975,26621500,5793314,2975,5790339,21761733,2975,21758758,40803490,2975,40800514,32496129,2975,32493153,8901994,2975,8899018,35169468,2975,35166493,12910504,2975,12907529
4,4716953,3107,4713846,10708353,3107,10705246,551165,3107,548057,12695837,3107,12692730,25169137,3107,25166030,5282343,3107,5279236,20799492,3107,20796385,38905682,3107,38902575,31236673,3107,31233566,8408065,3107,8404958,33734939,3107,33731832,12272821,3107,12269713
5,4716953,3107,4713846,10708353,3107,10705246,551165,3107,548057,12695837,3107,12692730,25169137,3107,25166030,5282343,3107,5279236,20799492,3107,20796385,38905682,3107,38902575,31236673,3107,31233566,8408065,3107,8404958,33734939,3107,33731832,12272821,3107,12269713
6,3916702,3317,3913384,8752650,3317,8749333,231902,3317,228585,11051781,3317,11048464,22819021,3317,22815704,4256407,3317,4253090,19118166,3317,19114849,36125189,3317,36121871,29619211,3317,29615894,7712514,3317,7709196,31805121,3317,31801804,11520611,3317,11517294
7,3916702,3317,3913384,8752650,3317,8749333,231902,3317,228585,11051781,3317,11048464,22819021,3317,22815704,4256407,3317,4253090,19118166,3317,19114849,36125189,3317,36121871,29619211,3317,29615894,7712514,3317,7709196,31805121,3317,31801804,11520611,3317,11517294
8,3790137,3415,3786722,8436114,3415,8432699,176962,3415,173547,10345110,3415,10341695,21856744,3415,21853329,4077306,3415,4073890,18312364,3415,18308949,34228953,3415,34225537,28312156,3415,28308740,7054722,3415,7051306,30072391,3415,30068975,10790244,3415,10786828
9,3790137,3415,3786722,8436114,3415,8432699,176962,3415,173547,10345110,3415,10341695,21856744,3415,21853329,4077306,3415,4073890,18312364,3415,18308949,34228953,3415,34225537,28312156,3415,28308740,7054722,3415,7051306,30072391,3415,30068975,10790244,3415,10786828
10,3214921,3602,3211319,7097085,3602,7093483,37877,3602,34275,9238252,3602,9234650,19928966,3602,19925364,3399244,3602,3395642,16838956,3602,16835354,31554567,3602,31550965,26538738,3602,26535136,6455047,3602,6451445,28136587,3602,28132985,9876359,3602,9872757
11,3214921,3602,3211319,7097085,3602,7093483,37877,3602,34275,9238252,3602,9234650,19928966,3602,19925364,3399244,3602,3395642,16838956,3602,16835354,31554567,3602,31550965,26538738,3602,26535136,6455047,3602,6451445,28136587,3602,28132985,9876359,3602,9872757
12,2916369,3712,2912657,6432575,3712,6428863,12553,3712,8841,8486458,3712,8482745,18666291,3712,18662579,3084172,3712,3080460,15763093,3712,15759381,29685296,3712,29681583,25202527,3712,25198814,5931657,3712,5927944,26568309,3712,26564597,9213816,3712,9210103
13,2916369,3712,2912657,6432575,3712,6428863,12553,3712,8841,8486458,3712,8482745,18666291,3712,18662579,3084172,3712,3080460,15763093,3712,15759381,29685296,3712,29681583,25202527,3712,25198814,5931657,3712,5927944,26568309,3712,26564597,9213816,3712,9210103
14,2731118,3869,2727248,5890664,3869,5886794,3869,3869,0,7716595,3869,7712726,17487000,3869,17483130,2688757,3869,2684887,14815104,3869,14811234,27528939,3869,27525069,23765591,3869,23761721,5344559,3869,5340689,24851082,3869,24847212,8436110,3869,8432240
15,2731118,3869,2727248,5890664,3869,5886794,3869,3869,0,7716595,3869,7712726,17487000,3869,17483130,2688757,3869,2684887,14815104,3869,14811234,27528939,3869,27525069,23765591,3869,23761721,5344559,3869,5340689,24851082,3869,24847212,8436110,3869,8432240
16,2162098,4142,2157956,4535259,4142,4531116,4142,4142,0,6084296,4142,6080153,15003196,4142,14999053,1945416,4142,1941273,12606078,4142,12601936,23716239,4142,23712096,21175708,4142,21171566,4243957,4142,4239814,21702275,4142,21698133,7145651,4142,7141509
17,2165824,4136,2161687,4546668,4136,4542531,4136,4136,0,6094431,4136,6090294,15015813,4136,15011676,1954136,4136,1949999,12616478,4136,12612341,23735959,4136,23731822,21185326,4136,21181190,4247495,4136,4243358,21713310,4136,21709173,7150324,4136,7146187
18,1812481,4403,1808077,3939514,4403,3935110,551547,4403,547144,4772041,4403,4767637,13752325,4403,13747921,1577647,4403,1573244,10857277,4403,10852874,20587174,4403,20582771,19453737,4403,19449334,3488105,4403,3483702,19252065,4403,19247661,6190834,4403,6186430
19,1812236,4406,1807830,3943077,4406,3938670,558098,4406,553691,4767756,4406,4763350,13756388,4406,13751982,1579253,4406,1574846,10852561,4406,10848155,20578511,4406,20574104,19452980,4406,19448573,3486506,4406,3482100,19246894,4406,19242488,6188691,4406,6184284
20,1588404,4664,1583739,3592044,4664,3587379,950892,4664,946228,3726170,4664,3721505,12315499,4664,12310835,1441320,4664,1436656,9154784,4664,9150120,17517425,4664,17512760,17251765,4664,17247101,2698047,4664,2693383,16495202,4664,16490537,5162279,4664,5157615
21,1587974,4661,1583313,3585481,4661,3580820,942364,4661,937703,3729904,4661,3725242,12308040,4661,12303378,1437750,4661,1433088,9159056,4661,9154394,17525162,4661,17520501,17251201,4661,17246539,2699448,4661,2694786,16499956,4661,16495294,5164194,4661,5159533
22,1571845,4872,1566972,3601939,4872,3597066,1420221,4872,1415348,3137826,4872,3132954,11716035,4872,11711162,1282806,4872,1277933,7900260,4872,7895388,14967809,4872,14962936,15619806,4872,15614933,2146395,4872,2141522,14390910,4872,14386038,4327444,4872,4322572
23,1558558,4874,1553684,3617621,4874,3612747,1395537,4874,1390662,3146592,4874,3141718,11712894,4874,11708020,1302452,4874,1297578,7919113,4874,7914239,14982105,4874,14977231,15627193,4874,15622319,2147179,4874,2142305,14393691,4874,14388817,4326176,4874,4321302
24,1563093,5181,1557912,3863765,5181,3858583,2241823,5181,2236641,2232251,5181,2227070,10935311,5181,10930129,1356655,5181,1351473,6167754,5181,6162573,11754379,5181,11749197,13530394,5181,13525213,1344888,5181,1339707,11499006,5181,11493825,3261078,5181,3255897
25,1481921,5136,1476784,3615345,5136,3610208,1942792,5136,1937655,2272328,5136,2267192,10648691,5136,10643554,1251443,5136,1246306,6264973,5136,6259836,11898993,5136,11893856,13484356,5136,13479220,1365969,5136,1360832,11598465,5136,11593329,3291398,5136,3286262
26,1699772,5528,1694244,4598418,5528,4592890,3262834,5528,3257306,1717781,5528,1712253,10688220,5528,10682692,1684432,5528,1678904,4566330,5528,4560802,8846465,5528,8840937,11573665,5528,11568137,746827,5528,741299,8797658,5528,8792130,2320265,5528,2314737
27,1428241,5380,1422861,3633757,5380,3628377,2267858,5380,2262477,1751571,5380,1746191,9655882,5380,9650502,1275697,5380,1270317,4908013,5380,4902633,9287716,5380,9282336,11370780,5380,11365400,811104,5380,805723,9151655,5380,9146275,2417020,5380,2411639
28,1531825,5672,1526152,4346273,5672,4340600,3017628,5672,3011956,1311618,5672,1305946,9254705,5672,9249033,1584594,5672,1578922,3627495,5672,3621823,6945183,5672,6939511,9674868,5672,9669196,355545,5672,349873,6845633,5672,6839960,1735987,5672,1730315
29,1457047,5598,1451448,3827697,5598,3822099,2595072,5598,2589473,1310581,5598,1304982,8782073,5598,8776475,1349138,5598,1343540,3761173,5598,3755574,7141968,5598,7136369,9518065,5598,9512466,375543,5598,369945,7015977,5598,7010378,1780801,5598,1775202
30,1778509,5882,1772627,4800265,5882,4794383,3608683,5882,3602801,1244625,5882,1238743,9337349,5882,9331467,1732329,5882,1726447,2891021,5882,2885139,5589644,5882,5583762,8556581,5882,8550699,191744,5882,185862,5555346,5882,5549464,1386477,5882,1380595
31,1487522,5769,1481752,3989323,5769,3983554,2827532,5769,2821763,1137096,5769,1131327,8404332,5769,8398563,1418066,5769,1412296,3121894,5769,3116125,5809964,5769,5804195,8379666,5769,8373897,213131,5769,207362,5756807,5769,5751038,1425185,5769,1419416
32,1596562,5948,1590613,4330446,5948,4324498,3206274,5948,3200326,1123561,5948,1117613,8203734,5948,8197786,1541397,5948,1535449,2473928,5948,2467980,4497423,5948,4491475,7219187,5948,7213239,151520,5948,145572,4539069,5948,4533120,1095050,5948,1089102
