Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,206,202,128,291,496,459,690,709,1280,471,657,539
10,391,483,285,612,467,261,1035,369,758,134,662,366
11,150,277,209,825,436,426,415,487,1043,598,487,978
12,128,128,128,128,128,128,128,128,128,128,128,128
13,130,130,128,912,687,128,770,739,539,128,583,128
14,278,128,128,190,856,573,678,666,1267,418,623,540
15,342,282,276,638,632,504,730,543,1078,374,663,736
16,217,302,282,321,485,539,1280,881,828,128,344,217
17,373,418,292,631,471,594,652,527,1076,505,920,503
18,437,383,285,523,522,474,887,595,1114,231,574,387
19,364,275,130,466,639,344,1078,682,1280,175,501,205
20,537,129,128,136,299,188,540,1280,177,129,1254,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
