Step,Sensor1,Sensor3,Sensor4,Sensor5,Sensor7,Sensor9,Sensor10,Sensor12
174,328,306,474,731,649,711,512,569
175,324,301,473,714,629,697,492,562
176,331,307,480,725,634,704,499,570
177,326,296,470,713,624,695,495,561
178,328,305,473,727,635,698,499,562
179,325,294,473,713,630,699,493,561
180,321,303,469,717,633,699,499,561
181,322,299,467,708,629,700,493,560
182,326,303,467,721,637,702,495,565
183,321,297,467,709,626,700,490,563
184,324,309,475,728,649,709,504,568
185,325,302,464,712,623,699,491,563
186,324,299,470,714,642,698,503,566
187,328,298,467,710,629,706,491,562
188,324,312,468,730,632,709,499,569
189,319,299,465,709,626,701,496,563
190,329,303,470,718,634,706,506,565
191,326,300,466,714,626,698,492,564
192,329,311,473,735,640,711,504,569
193,320,299,466,711,625,704,497,560
194,323,306,471,723,635,704,501,560
195,326,298,469,711,623,707,494,561
196,323,308,462,729,627,703,488,566
197,325,298,470,712,631,696,491,560
198,333,307,481,737,649,710,505,569
199,320,296,469,711,631,700,492,562
200,328,308,476,736,635,702,494,565
201,325,297,469,710,631,701,494,563
202,327,305,469,729,638,705,502,565
203,324,301,469,710,624,704,494,564
204,326,306,473,727,644,708,506,566
205,323,301,466,712,630,698,491,565
206,323,304,476,737,634,702,497,565
207,322,300,467,708,630,696,494,560
208,328,310,470,736,639,706,499,567
209,324,297,467,716,624,703,490,558
210,327,303,471,722,634,697,494,561
211,323,298,464,712,628,699,495,563
212,322,308,466,716,633,701,499,561
213,327,299,469,718,627,703,491,559
214,331,312,476,734,643,710,509,569
215,321,308,470,721,632,707,496,562
216,325,312,466,732,633,708,504,566
217,323,305,468,722,627,702,494,565
218,328,321,476,753,642,711,505,568
219,323,304,465,720,627,701,492,564
220,329,321,476,746,639,713,498,571
221,319,303,471,719,625,702,494,563
222,329,319,475,733,630,701,501,560
223,325,305,469,721,630,698,493,563
224,328,316,472,740,632,706,495,566
225,324,306,470,722,632,701,494,559
226,329,322,471,749,631,710,497,567
227,322,310,469,723,630,703,493,565
228,327,309,474,728,637,703,500,562
229,325,308,474,724,628,699,493,562
230,335,326,478,745,631,707,494,567
231,324,304,467,723,629,704,494,563
232,325,321,467,750,641,712,505,565
233,324,306,467,723,628,701,495,567
234,328,319,472,738,635,707,499,566
235,326,309,466,719,630,700,494,566
236,328,316,478,745,639,712,498,567
237,329,309,469,722,627,701,496,563
238,333,319,485,743,650,713,512,572
239,325,308,468,720,629,704,494,564
240,330,316,473,740,641,710,503,569
241,329,306,469,724,630,702,493,562
242,329,316,470,743,634,705,506,564
243,325,311,470,720,624,708,496,565
244,330,313,476,747,644,711,501,567
245,328,308,470,722,633,703,495,561
246,324,317,469,734,626,704,491,560
247,326,310,469,721,631,701,493,566
248,328,318,473,735,637,704,498,564
249,328,311,465,720,627,704,494,563
250,329,317,475,736,647,710,507,570
251,325,310,467,722,628,700,489,561
252,325,315,473,739,639,703,505,564
253,322,308,471,721,633,700,492,564
254,332,312,478,740,645,710,505,570
255,326,304,467,722,630,704,495,565
256,330,314,472,735,634,710,494,564
257,324,308,472,722,630,702,493,564
258,329,315,476,740,631,714,494,566
259,327,310,470,723,632,705,492,566
260,329,321,478,751,634,714,498,567
261,325,309,471,726,632,700,489,567
262,321,322,471,736,637,708,497,565
263,325,308,474,723,629,706,495,562
264,331,320,476,742,641,713,503,569
265,328,311,472,722,626,703,492,563
266,336,320,484,752,641,710,507,570
267,325,314,472,724,629,703,494,561
268,331,316,476,738,634,708,498,567
269,328,310,470,726,629,706,491,563
270,333,323,481,751,646,711,505,566
271,325,309,471,725,625,705,490,564
272,324,323,475,743,648,713,506,576
273,324,309,469,723,629,704,495,562
274,329,316,475,740,649,710,502,567
275,325,309,472,724,631,704,492,564
276,323,318,471,731,629,705,499,571
277,326,312,471,723,631,711,501,569
278,324,324,468,744,632,713,500,568
279,325,313,473,724,634,708,496,567
280,324,316,471,732,640,712,498,573
281,326,315,473,728,635,709,495,564
282,332,316,476,743,631,704,487,561
283,325,314,478,726,632,703,498,569
284,327,318,470,738,624,707,491,568
285,318,312,466,722,621,704,484,563
286,324,317,472,743,643,711,501,567
287,321,310,467,726,620,708,486,566
288,330,327,480,757,650,719,509,574
289,323,311,466,721,623,705,486,561
290,318,320,464,734,632,708,497,562
291,322,311,463,724,626,703,488,563
292,325,323,470,743,638,716,506,573
293,323,310,465,723,623,705,486,560
294,320,320,464,740,631,717,496,565
295,322,308,465,726,623,705,483,563
296,324,328,473,752,634,716,499,572
297,323,312,463,724,621,706,487,567
298,320,319,466,739,641,714,505,571
299,321,317,463,724,626,702,490,564
300,330,316,477,741,627,712,490,567
301,319,311,465,724,621,703,490,566
302,333,325,481,760,641,715,501,573
303,321,310,464,724,622,708,488,564
304,332,329,483,760,648,717,507,575
305,323,314,463,724,621,703,486,564
306,320,315,464,733,635,713,500,571
307,324,311,464,721,624,707,490,567
308,325,320,467,744,625,709,490,568
309,318,311,468,726,624,707,487,564
310,327,322,470,745,629,712,494,567
311,322,313,465,724,622,706,489,566
312,327,332,478,754,635,716,492,567
313,320,312,468,721,622,703,484,565
314,325,320,470,748,633,713,493,569
315,317,309,467,722,625,704,493,563
316,326,326,476,754,633,713,499,570
317,323,311,466,725,621,705,491,566
318,331,325,476,753,632,710,489,569
319,322,312,466,722,623,702,483,560
320,327,325,472,752,622,707,490,565
321,323,311,465,727,624,707,488,566
322,325,318,471,745,633,709,497,568
323,319,310,463,724,622,708,491,566
324,329,322,475,737,632,709,499,570
325,322,309,467,725,622,710,483,567
326,331,323,476,752,632,711,497,569
327,318,314,468,726,623,708,490,564
328,328,322,473,743,620,709,486,562
329,327,311,469,723,621,707,491,565
330,321,326,468,759,629,711,494,565
331,321,314,467,727,622,709,491,561
332,324,308,471,739,633,711,494,568
333,322,311,466,728,622,706,491,563
334,325,320,468,746,623,709,490,565
335,320,308,467,725,627,708,490,565
336,327,323,475,742,633,705,498,566
337,324,312,468,724,618,704,488,566
338,325,318,470,731,635,706,493,561
339,328,310,467,721,621,706,489,564
340,322,316,472,748,633,718,501,573
341,320,313,464,723,622,705,493,563
342,324,324,475,743,627,710,494,569
343,322,310,468,722,623,705,487,568
344,329,320,482,751,645,715,510,573
345,321,311,469,721,622,704,492,567
346,323,324,467,744,629,709,497,566
347,321,312,462,722,622,709,486,563
348,327,319,474,748,633,708,495,567
349,328,315,467,724,624,704,485,565
350,325,317,474,741,639,710,493,569
351,320,311,466,721,622,709,490,566
352,320,309,463,726,626,703,490,567
353,317,314,465,724,624,703,487,562
354,323,317,472,741,635,713,495,567
355,319,313,466,720,624,709,490,567
356,332,324,479,753,633,713,500,570
357,320,311,467,723,621,706,491,563
358,325,319,469,738,629,712,499,568
359,323,312,465,726,622,705,488,568
360,324,318,471,744,643,714,507,576
361,321,316,465,724,621,707,487,564
362,321,326,468,748,637,705,499,566
363,322,312,466,725,620,704,489,563
364,318,311,468,730,629,705,492,566
365,321,311,463,722,621,704,490,562
366,326,321,469,738,625,710,488,564
367,323,313,467,723,623,703,489,562
368,328,312,480,741,637,716,505,570
369,324,313,467,724,620,705,492,563
370,315,322,458,729,627,711,495,567
371,316,317,457,719,623,704,491,567
372,320,323,470,740,634,713,497,571
373,316,316,459,723,622,705,484,566
374,318,331,462,745,627,714,487,568
375,318,311,458,724,619,705,491,563
376,328,321,465,742,634,708,499,570
377,318,312,458,721,622,704,489,567
378,315,320,459,743,630,709,491,565
379,318,315,457,723,621,706,491,564
380,330,337,477,763,644,718,502,573
381,315,309,458,722,621,710,485,565
382,325,328,464,749,643,716,503,574
383,319,309,456,717,621,707,489,567
384,320,322,464,747,625,708,486,569
385,316,312,457,726,620,705,485,567
386,319,322,465,748,629,709,493,567
387,312,311,458,721,623,706,487,565
388,320,325,470,753,632,716,494,572
389,317,313,458,721,624,700,488,567
390,321,326,471,757,633,716,499,569
391,319,316,459,723,621,708,493,562
392,323,330,474,753,631,712,493,568
393,321,315,461,724,620,707,490,565
394,320,321,459,737,633,711,499,565
395,316,312,457,722,619,703,488,565
396,322,320,466,745,642,712,507,567
397,316,312,458,725,621,708,489,568
398,320,330,469,754,627,712,489,574
399,314,311,456,727,621,708,484,566
400,317,321,461,739,636,710,502,566
401,314,315,458,726,623,705,489,563
402,323,324,466,742,627,712,493,571
403,316,315,461,724,618,706,491,564
404,320,321,465,743,642,713,498,568
405,317,312,458,724,618,707,491,564
406,319,325,461,742,623,711,490,566
407,318,314,460,723,620,703,491,560
408,323,325,472,746,625,717,491,570
409,316,316,461,725,626,707,489,564
410,314,319,469,748,642,717,507,572
411,318,314,455,727,617,708,487,564
412,321,327,460,745,625,713,488,567
413,316,311,463,725,618,709,493,566
414,320,326,461,743,640,717,506,571
415,320,315,461,724,619,708,483,569
416,322,323,466,742,638,717,503,569
417,318,312,459,722,619,710,489,565
418,319,317,466,733,634,709,492,569
419,319,313,459,724,620,710,488,565
420,330,333,471,764,640,718,508,571
421,316,314,461,727,621,704,486,565
422,321,324,467,742,637,711,502,570
423,316,315,461,724,621,705,486,566
424,315,320,461,740,641,716,500,567
425,322,312,458,724,619,704,490,566
426,318,317,464,743,635,705,497,564
427,319,312,459,720,619,706,490,565
428,320,318,461,738,632,706,500,565
429,315,310,457,723,617,707,486,563
430,326,321,464,742,640,715,504,570
431,316,316,456,724,621,706,488,568
432,319,322,471,748,639,718,500,573
433,310,316,460,725,618,707,488,567
434,322,324,464,749,637,717,492,564
435,318,315,458,719,617,705,487,568
436,324,328,469,755,639,711,501,570
437,317,314,458,723,622,707,485,566
438,313,322,460,737,626,714,496,570
439,315,314,457,721,619,703,491,562
440,326,321,473,750,634,717,496,569
441,316,311,454,725,622,704,490,568
442,327,326,468,752,643,708,503,569
443,314,312,458,722,623,708,487,568
444,320,315,463,735,642,717,505,573
445,315,314,459,726,622,705,490,566
446,320,319,468,743,629,715,493,568
447,318,314,458,723,621,708,487,562
448,320,328,461,742,629,711,501,564
449,319,316,461,725,623,710,487,561
450,325,325,469,741,625,707,491,568
451,313,316,458,724,619,702,492,568
452,317,322,462,740,637,711,496,569
453,314,313,455,724,620,706,488,567
