Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
24,333069,5060,328009,452278,5060,447218,723708,5060,718648,402218,5060,397157,530395,5060,525335,684663,5060,679603,460729,5060,455669,802410,5060,797350,1674501,5060,1669441,521774,5060,516714,878403,5060,873343,1764047,5060,1758987
25,327018,5038,321979,448455,5038,443416,721215,5038,716176,394175,5038,389136,524427,5038,519388,678325,5038,673286,458404,5038,453365,798183,5038,793144,1660656,5038,1655617,520044,5038,515005,878452,5038,873414,1769781,5038,1764742
26,362390,5286,357103,475958,5286,470671,723703,5286,718417,446281,5286,440995,568191,5286,562905,690399,5286,685112,427848,5286,422562,761775,5286,756489,1583251,5286,1577965,466258,5286,460971,822295,5286,817008,1672462,5286,1667175
27,322242,5206,317036,438847,5206,433641,698712,5206,693506,390442,5206,385236,514538,5206,509332,659247,5206,654041,416204,5206,410998,749882,5206,744676,1578176,5206,1572970,461810,5206,456604,816259,5206,811053,1667256,5206,1662050
28,349348,5415,343933,463297,5415,457882,695882,5415,690466,431279,5415,425864,555082,5415,549667,660156,5415,654741,388372,5415,382956,695363,5415,689948,1434952,5415,1429537,415941,5415,410525,747516,5415,742101,1526279,5415,1520863
29,336233,5337,330896,441840,5337,436503,695334,5337,689997,412652,5337,407314,512846,5337,507509,640313,5337,634976,386420,5337,381082,688472,5337,683134,1429548,5337,1424211,419697,5337,414360,745901,5337,740564,1520999,5337,1515662
30,350929,5558,345370,456190,5558,450632,665992,5558,660434,437540,5558,431982,551539,5558,545981,634480,5558,628921,363595,5558,358036,653283,5558,647724,1337626,5558,1332067,380858,5558,375299,699035,5558,693477,1435865,5558,1430307
31,334749,5536,329212,437083,5536,431546,652560,5536,647024,415342,5536,409806,523012,5536,517475,617631,5536,612095,362731,5536,357194,654166,5536,648629,1349309,5536,1343772,384657,5536,379121,704301,5536,698764,1449811,5536,1444274
32,341481,5692,335789,440576,5692,434884,624676,5692,618984,429914,5692,424222,540073,5692,534381,601437,5692,595745,359858,5692,354166,618228,5692,612536,1240532,5692,1234840,361490,5692,355798,656753,5692,651061,1343132,5692,1337440
33,349015,5714,343300,445117,5714,439402,622555,5714,616840,441103,5714,435388,548266,5714,542552,601540,5714,595825,366664,5714,360949,616037,5714,610322,1223449,5714,1217734,366987,5714,361272,652688,5714,646973,1322944,5714,1317229
34,359448,5770,353678,455771,5770,450001,628001,5770,622231,456073,5770,450303,564629,5770,558859,609983,5770,604213,363934,5770,358164,612263,5770,606493,1212739,5770,1206969,357429,5770,351659,643853,5770,638083,1307700,5770,1301930
35,355270,5729,349540,452092,5729,446362,631049,5729,625320,449312,5729,443582,557256,5729,551527,610336,5729,604606,371859,5729,366130,624040,5729,618310,1239002,5729,1233272,371520,5729,365791,660323,5729,654593,1337536,5729,1331806
36,380379,5955,374424,475542,5955,469586,625553,5955,619597,489362,5955,483407,600652,5955,594697,617656,5955,611701,389189,5955,383234,609352,5955,603397,1165126,5955,1159171,358072,5955,352117,629795,5955,623840,1262993,5955,1257038
37,356275,5851,350423,450185,5851,444333,613581,5851,607729,454542,5851,448690,559660,5851,553808,596546,5851,590694,360706,5851,354854,596851,5851,590999,1171450,5851,1165599,342222,5851,336370,624837,5851,618985,1275412,5851,1269561
38,385525,6089,379435,475386,6089,469296,615250,6089,609160,500073,6089,493983,601893,6089,595803,604905,6089,598815,396378,6089,390288,581502,6089,575412,1077293,6089,1071203,347302,6089,341212,591688,6089,585598,1166319,6089,1160229
39,363652,5968,357684,450048,5968,444079,600339,5968,594371,467786,5968,461817,561228,5968,555260,580742,5968,574774,359665,5968,353697,562779,5968,556811,1071526,5968,1065558,330992,5968,325024,583068,5968,577100,1169338,5968,1163370
40,372737,6131,366606,461719,6131,455587,605021,6131,598890,483467,6131,477336,579745,6131,573614,584556,6131,578425,386908,6131,380776,552555,6131,546423,1007370,6131,1001238,335006,6131,328875,562254,6131,556122,1100822,6131,1094690
41,361043,6051,354991,447619,6051,441568,594817,6051,588766,465068,6051,459017,557428,6051,551376,569390,6051,563338,351475,6051,345423,532647,6051,526596,991207,6051,985155,319884,6051,313832,549974,6051,543923,1089014,6051,1082963
42,415099,6406,408693,497269,6406,490863,588463,6406,582057,548053,6406,541647,648327,6406,641921,590310,6406,583904,410625,6406,404219,526223,6406,519816,877669,6406,871263,337648,6406,331242,520235,6406,513828,969541,6406,963135
43,379304,6205,373099,459840,6205,453635,582113,6205,575908,493674,6205,487469,581648,6205,575443,562160,6205,555955,352188,6205,345983,501872,6205,495667,888979,6205,882774,310588,6205,304382,511171,6205,504966,987593,6205,981388
44,418456,6443,412013,497525,6443,491082,587299,6443,580856,553593,6443,547149,647349,6443,640906,584961,6443,578518,414257,6443,407814,514978,6443,508535,839896,6443,833452,338282,6443,331838,507131,6443,500688,930842,6443,924399
45,373325,6244,367081,451907,6244,445663,570225,6244,563980,486432,6244,480187,572041,6244,565797,550590,6244,544346,347123,6244,340879,489839,6244,483594,862308,6244,856064,303840,6244,297595,497886,6244,491642,959520,6244,953275
46,412245,6374,405871,487392,6374,481018,580554,6374,574179,543271,6374,536897,630680,6374,624305,576064,6374,569690,380733,6374,374359,501988,6374,495614,844818,6374,838443,318479,6374,312104,497805,6374,491430,932098,6374,925723
47,381124,6261,374863,461707,6261,455446,576915,6261,570654,497376,6261,491115,586666,6261,580405,558153,6261,551892,349537,6261,343276,489942,6261,483680,853605,6261,847344,303300,6261,297038,497061,6261,490799,956863,6261,950602
48,391011,6388,384623,473699,6388,467311,575572,6388,569183,513951,6388,507563,610234,6388,603846,565115,6388,558727,383230,6388,376842,495695,6388,489307,827731,6388,821343,318737,6388,312348,494182,6388,487794,924489,6388,918100
49,379082,6258,372824,457503,6258,451245,575546,6258,569287,494794,6258,488536,578729,6258,572471,553128,6258,546870,349594,6258,343336,482037,6258,475778,835231,6258,828973,301684,6258,295425,486868,6258,480609,929157,6258,922899
50,417143,6568,410575,501608,6568,495039,571405,6568,564836,553601,6568,547032,661738,6568,655170,573844,6568,567276,400849,6568,394280,467692,6568,461124,709334,6568,702765,318481,6568,311913,451514,6568,444945,794771,6568,788202
51,380963,6419,374543,463094,6419,456675,565080,6419,558661,499737,6419,493318,593317,6419,586897,545881,6419,539462,354532,6419,348113,451624,6419,445205,733663,6419,727244,296023,6419,289604,449030,6419,442610,825811,6419,819392
52,423221,6504,416716,509766,6504,503261,579086,6504,572581,558226,6504,551721,673229,6504,666724,585236,6504,578731,359860,6504,353355,464219,6504,457715,738491,6504,731987,298967,6504,292462,454489,6504,447984,828879,6504,822375
53,389329,6419,382910,467591,6419,461172,563737,6419,557318,511762,6419,505343,600743,6419,594324,546940,6419,540521,352278,6419,345859,451425,6419,445006,732295,6419,725876,294327,6419,287908,448513,6419,442094,826317,6419,819897
54,411445,6495,404949,484900,6495,478405,572646,6495,566150,544028,6495,537532,626018,6495,619523,557886,6495,551391,375066,6495,368570,455678,6495,449182,712930,6495,706435,306576,6495,300080,446261,6495,439765,799556,6495,793061
55,377868,6490,371377,455350,6490,448859,553512,6490,547021,496977,6490,490487,582445,6490,575954,531566,6490,525075,350932,6490,344441,434609,6490,428119,690608,6490,684117,289013,6490,282522,429992,6490,423501,781644,6490,775154
56,433624,6810,426813,520273,6810,513463,564158,6810,557348,579239,6810,572429,697791,6810,690981,574869,6810,568058,410385,6810,403575,434281,6810,427471,587947,6810,581137,314685,6810,307875,406298,6810,399488,664366,6810,657556
57,393016,6668,386348,464740,6668,458072,537180,6668,530512,521769,6668,515101,603866,6668,597197,522146,6668,515478,359114,6668,352446,403216,6668,396548,581938,6668,575270,283871,6668,277203,387785,6668,381116,663851,6668,657182
58,477218,6942,470276,558591,6942,551649,587040,6942,580098,640060,6942,633118,752728,6942,745785,601094,6942,594152,414984,6942,408042,424114,6942,417172,536902,6942,529959,312109,6942,305167,386154,6942,379212,601646,6942,594704
59,408049,6772,401277,477345,6772,470573,537259,6772,530487,544012,6772,537240,624808,6772,618036,525287,6772,518515,362635,6772,355863,387859,6772,381087,526784,6772,520011,280315,6772,273543,365625,6772,358853,601471,6772,594699
60,429854,6842,423011,496944,6842,490101,557944,6842,551101,575116,6842,568273,649276,6842,642433,542490,6842,535647,393055,6842,386212,400491,6842,393648,523602,6842,516759,299011,6842,292168,373203,6842,366360,594435,6842,587592
61,410639,6782,403856,485074,6782,478291,555102,6782,548320,546658,6782,539875,631628,6782,624845,537301,6782,530518,376192,6782,369409,396023,6782,389240,534313,6782,527530,290415,6782,283632,373247,6782,366464,608194,6782,601411
62,491940,7038,484901,578505,7038,571466,589510,7038,582471,661873,7038,654834,789777,7038,782738,616289,7038,609251,436372,7038,429334,427347,7038,420308,512200,7038,505161,322728,7038,315690,381658,7038,374619,569397,7038,562358
63,414151,6820,407330,479989,6820,473169,538873,6820,532052,553279,6820,546458,627027,6820,620206,523809,6820,516988,367631,6820,360811,380396,6820,373575,499616,6820,492795,280762,6820,273941,354873,6820,348053,568774,6820,561953
64,435304,6875,428429,507354,6875,500479,558818,6875,551943,583045,6875,576170,669699,6875,662824,551645,6875,544770,399844,6875,392969,398187,6875,391312,505510,6875,498635,300398,6875,293523,365188,6875,358313,565728,6875,558853
65,403295,6814,396480,476758,6814,469943,542683,6814,535868,536962,6814,530147,621901,6814,615086,526050,6814,519235,363883,6814,357068,379604,6814,372789,503929,6814,497114,279013,6814,272198,355120,6814,348305,571750,6814,564935
66,458297,6973,451323,528482,6973,521509,556703,6973,549729,616504,6973,609531,708634,6973,701661,563930,6973,556957,409064,6973,402090,397947,6973,390973,482307,6973,475334,303441,6973,296467,358287,6973,351313,537279,6973,530305
67,412416,6855,405561,485866,6855,479010,545082,6855,538227,549370,6855,542515,636455,6855,629599,530804,6855,523949,353236,6855,346381,365066,6855,358211,469964,6855,463108,268491,6855,261636,336348,6855,329493,528796,6855,521940
68,436039,6969,429070,510213,6969,503244,559203,6969,552234,585392,6969,578422,675221,6969,668252,551864,6969,544895,420063,6969,413094,396230,6969,389261,476330,6969,469361,311248,6969,304279,358971,6969,352001,531805,6969,524836
69,418485,6855,411630,482611,6855,475755,543162,6855,536307,559870,6855,553015,628911,6855,622056,525055,6855,518200,378812,6855,371956,381336,6855,374481,490093,6855,483238,287242,6855,280387,353827,6855,346971,556270,6855,549415
70,481293,7063,474230,554603,7063,547540,574665,7063,567601,648724,7063,641661,748388,7063,741325,587760,7063,580696,431857,7063,424793,408962,7063,401898,478013,7063,470950,317096,7063,310033,363195,7063,356131,527560,7063,520497
71,418397,6892,411505,481781,6892,474889,542779,6892,535887,559005,6892,552113,626472,6892,619580,522447,6892,515555,359962,6892,353070,365669,6892,358777,466691,6892,459799,272373,6892,265481,337245,6892,330353,527845,6892,520953
72,440649,6967,433682,511235,6967,504268,549080,6967,542113,591756,6967,584789,680932,6967,673965,549352,6967,542385,400332,6967,393365,386683,6967,379716,469312,6967,462345,296827,6967,289860,348200,6967,341233,519321,6967,512354
73,412533,6892,405641,476252,6892,469360,531727,6892,524835,552131,6892,545239,622613,6892,615721,516031,6892,509139,369370,6892,362478,366705,6892,359813,461232,6892,454340,277834,6892,270942,336720,6892,329828,519444,6892,512552
74,475338,7040,468298,551455,7040,544415,581452,7040,574412,638977,7040,631936,739315,7040,732275,586819,7040,579779,417226,7040,410186,397139,7040,390099,462989,7040,455948,306673,7040,299633,352339,7040,345299,510346,7040,503306
