Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,False,False,False,False,False,False,True,False,False,False,False,False
10,False,False,False,False,True,False,False,False,False,False,False,False
11,False,False,False,False,False,False,False,False,False,False,False,False
12,False,False,False,False,False,False,False,False,False,False,False,False
13,False,False,False,False,True,False,False,False,False,False,False,False
14,False,False,False,False,True,False,False,False,False,False,False,False
15,False,False,False,False,True,False,True,False,False,False,False,False
16,False,False,False,False,False,False,False,False,False,False,False,False
17,False,False,False,False,True,False,False,False,False,False,False,False
18,False,False,False,False,True,False,True,False,False,False,False,False
19,False,False,False,False,True,False,False,False,False,False,False,False
20,True,False,False,False,False,False,False,False,False,False,False,False
21,False,False,True,False,True,False,True,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False
