Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,411,411,410,460,496,453,534,646,697,482,619,626
10,423,431,440,460,514,489,573,639,706,516,613,611
11,416,423,453,457,487,481,494,549,612,476,575,583
12,109,118,121,113,130,122,113,128,127,106,125,117
13,425,450,462,463,526,507,572,636,712,506,617,627
14,441,451,466,484,538,517,553,639,718,494,615,626
15,410,433,431,450,510,465,538,629,687,496,612,619
16,436,464,457,486,553,503,579,613,652,501,578,561
17,419,450,438,461,523,463,551,632,718,489,605,642
18,434,445,450,479,534,498,545,637,708,488,579,617
19,395,428,419,486,546,486,578,669,691,483,593,624
20,320,425,400,391,577,481,608,644,645,470,563,521
21,289,358,312,370,502,373,501,361,255,363,299,213
22,109,118,121,113,130,122,113,128,127,106,125,117
