Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,403,332,268,587,416,402,650,743,1063,453,636,618
10,472,352,275,497,443,502,799,611,1280,546,582,448
11,403,376,382,626,372,625,572,346,920,581,740,656
12,128,128,128,128,128,128,128,128,128,128,128,128
13,435,439,271,493,450,548,837,554,1280,448,654,506
14,471,354,315,571,481,562,730,604,1280,459,634,488
15,400,421,294,509,471,372,664,651,1087,541,610,635
16,411,431,253,548,581,473,900,546,1120,445,542,384
17,391,482,330,514,489,245,760,611,1280,447,543,722
18,448,349,309,569,494,483,684,742,1121,547,313,788
19,186,342,147,658,585,477,848,869,801,341,339,971
20,135,310,128,172,1024,139,1181,730,1140,137,484,134
21,128,128,128,295,1105,129,1236,167,129,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
