Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,414,445,442,453,534,487,571,666,670,510,617,578
10,416,431,414,465,518,444,575,696,703,490,655,659
11,432,484,499,496,570,538,583,632,705,499,582,620
12,109,118,121,113,130,122,113,128,127,106,125,117
13,410,427,438,443,502,470,548,645,687,486,610,614
14,335,407,442,394,542,525,543,634,726,488,639,662
15,422,460,456,460,563,514,518,662,715,437,583,599
16,423,431,438,462,532,501,544,641,701,481,596,607
17,439,458,454,467,566,512,548,631,690,498,633,640
18,440,450,447,493,547,496,546,630,708,492,641,652
19,428,421,409,458,489,444,460,537,657,432,551,607
20,425,417,376,458,478,394,480,467,388,438,472,380
21,300,221,188,245,237,192,275,408,358,299,500,406
22,109,118,121,113,130,122,113,128,127,106,125,117
