Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,35,38,20,37,43,34,64,70,80,40,44,35
10,35,32,25,42,43,21,73,78,65,22,53,69
11,24,42,28,48,43,43,73,51,102,34,34,60
12,12,12,12,12,12,12,12,12,12,12,12,12
13,40,33,29,37,36,33,62,60,81,34,48,51
14,17,18,20,25,62,41,60,39,103,31,66,47
15,38,32,23,37,53,33,52,79,89,22,35,42
16,39,23,21,41,44,42,61,57,95,36,40,46
17,47,23,23,34,58,34,57,46,88,35,67,54
18,34,28,24,52,51,32,64,41,104,33,73,46
19,39,30,21,49,36,30,41,27,105,35,59,54
20,43,35,14,48,41,33,55,32,13,42,47,26
21,62,12,12,12,12,12,12,35,12,21,105,12
22,12,12,12,12,12,12,12,12,12,12,12,12
