Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,386,391,347,478,530,415,590,673,621,471,608,529
10,386,308,270,501,387,301,318,272,222,309,256,194
11,299,297,313,349,394,381,642,699,738,500,621,641
12,109,118,121,113,130,122,113,128,127,106,125,117
13,386,303,301,501,362,282,445,406,309,421,404,291
14,311,415,390,364,604,496,428,660,643,365,586,535
15,447,440,377,461,468,377,513,569,668,441,616,700
16,308,280,301,302,338,315,455,699,702,403,665,701
17,301,308,316,302,318,300,502,453,356,425,522,396
18,429,425,385,445,460,381,572,597,627,482,636,678
19,456,445,375,477,481,373,647,639,643,536,686,704
20,413,333,245,500,367,237,202,203,176,161,172,153
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
