Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,False,False,True,False,True,False,False,False,False,False,False,False
10,False,True,False,True,False,True,False,False,False,True,False,False
11,False,False,True,False,False,False,False,False,False,False,False,False
12,False,False,False,False,False,False,False,False,False,False,False,False
13,False,True,True,True,False,False,False,False,False,False,False,False
14,True,False,False,False,False,False,False,False,False,False,False,False
15,False,False,False,False,False,False,True,False,False,False,False,True
16,True,False,True,False,False,True,False,False,False,False,False,True
17,True,True,True,False,False,True,True,False,False,False,True,False
18,False,False,False,False,False,False,False,False,False,False,False,False
19,False,False,False,False,False,False,False,False,False,False,False,True
20,False,True,False,True,False,False,False,False,False,False,False,False
21,False,False,False,False,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False
