Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,438370,2796,435574,5268149,2796,5265353,1198727,2796,1195931,11904201,2796,11901405,22968749,2796,22965953,13190629,2796,13187833,16308212,2796,16305416,48875851,2796,48873055,36384172,2796,36381376,9953501,2796,9950705,44274882,2796,44272086,18015773,2796,18012977
2,362137,2959,359178,4714527,2959,4711568,943184,2959,940225,10886671,2959,10883712,21127486,2959,21124527,11890578,2959,11887619,14960914,2959,14957954,44878021,2959,44875062,33719247,2959,33716288,8845302,2959,8842342,40541187,2959,40538227,16285719,2959,16282760
3,362137,2959,359178,4714527,2959,4711568,943184,2959,940225,10886671,2959,10883712,21127486,2959,21124527,11890578,2959,11887619,14960914,2959,14957954,44878021,2959,44875062,33719247,2959,33716288,8845302,2959,8842342,40541187,2959,40538227,16285719,2959,16282760
4,266725,3071,263654,4088166,3071,4085094,695276,3071,692204,10198598,3071,10195526,20096224,3071,20093152,10838626,3071,10835555,14441396,3071,14438325,42481585,3071,42478514,32364210,3071,32361139,8382594,3071,8379523,38792856,3071,38789785,15398590,3071,15395518
5,266725,3071,263654,4088166,3071,4085094,695276,3071,692204,10198598,3071,10195526,20096224,3071,20093152,10838626,3071,10835555,14441396,3071,14438325,42481585,3071,42478514,32364210,3071,32361139,8382594,3071,8379523,38792856,3071,38789785,15398590,3071,15395518
6,187167,3199,183967,3574303,3199,3571103,456045,3199,452845,9592122,3199,9588922,19105658,3199,19102458,9868446,3199,9865247,13882159,3199,13878959,40364507,3199,40361308,31080953,3199,31077753,7896636,3199,7893437,37011385,3199,37008185,14537049,3199,14533850
7,187167,3199,183967,3574303,3199,3571103,456045,3199,452845,9592122,3199,9588922,19105658,3199,19102458,9868446,3199,9865247,13882159,3199,13878959,40364507,3199,40361308,31080953,3199,31077753,7896636,3199,7893437,37011385,3199,37008185,14537049,3199,14533850
8,103826,3349,100476,3019326,3349,3015977,244372,3349,241023,8584151,3349,8580802,17885068,3349,17881719,8889974,3349,8886625,13019284,3349,13015934,37679969,3349,37676619,29615368,3349,29612018,7071761,3349,7068411,34746538,3349,34743188,13567427,3349,13564078
9,103826,3349,100476,3019326,3349,3015977,244372,3349,241023,8584151,3349,8580802,17885068,3349,17881719,8889974,3349,8886625,13019284,3349,13015934,37679969,3349,37676619,29615368,3349,29612018,7071761,3349,7068411,34746538,3349,34743188,13567427,3349,13564078
10,57721,3514,54206,2564339,3514,2560824,113232,3514,109717,7617260,3514,7613745,16592827,3514,16589312,7724803,3514,7721289,12070317,3514,12066802,34455139,3514,34451624,27614700,3514,27611185,6279214,3514,6275699,31850468,3514,31846953,12294482,3514,12290967
11,57721,3514,54206,2564339,3514,2560824,113232,3514,109717,7617260,3514,7613745,16592827,3514,16589312,7724803,3514,7721289,12070317,3514,12066802,34455139,3514,34451624,27614700,3514,27611185,6279214,3514,6275699,31850468,3514,31846953,12294482,3514,12290967
12,31480,3637,27843,2305808,3637,2302170,52583,3637,48946,7046538,3637,7042901,15719890,3637,15716253,7095000,3637,7091363,11435399,3637,11431762,32435248,3637,32431611,26326763,3637,26323126,5746687,3637,5743050,30081830,3637,30078193,11462278,3637,11458640
13,31480,3637,27843,2305808,3637,2302170,52583,3637,48946,7046538,3637,7042901,15719890,3637,15716253,7095000,3637,7091363,11435399,3637,11431762,32435248,3637,32431611,26326763,3637,26323126,5746687,3637,5743050,30081830,3637,30078193,11462278,3637,11458640
14,5619,3844,1775,1919269,3844,1915425,6507,3844,2663,6202251,3844,6198406,14182120,3844,14178275,5849926,3844,5846082,10330049,3844,10326205,28689936,3844,28686092,23823287,3844,23819443,4930262,3844,4926417,26782919,3844,26779075,9832774,3844,9828930
15,5619,3844,1775,1919269,3844,1915425,6507,3844,2663,6202251,3844,6198406,14182120,3844,14178275,5849926,3844,5846082,10330049,3844,10326205,28689936,3844,28686092,23823287,3844,23819443,4930262,3844,4926417,26782919,3844,26779075,9832774,3844,9828930
