Hour,lum_sum[cd],Power[w]
9,6608,235
10,6583,235
11,6399,233
12,1536,65
13,6577,235
14,4944,179
15,6425,233
16,6037,217
17,5012,183
18,6182,221
19,6293,221
20,3728,138
21,2403,93
22,1536,65
