Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,47,27,21,40,48,18,53,58,69,23,66,73
10,34,30,22,50,35,37,75,38,105,37,54,26
11,28,17,12,96,38,15,39,31,105,46,51,61
12,12,12,12,12,12,12,12,12,12,12,12,12
13,35,29,12,43,52,13,64,43,105,12,38,97
14,12,32,12,100,25,31,12,105,12,18,36,16
15,26,29,23,41,27,62,58,49,57,25,62,78
16,18,35,12,41,38,29,16,105,48,12,41,105
17,12,22,12,103,31,39,12,105,22,13,37,12
18,12,29,13,97,26,16,12,50,101,15,49,89
19,12,17,12,105,39,13,12,38,100,12,46,105
20,12,12,12,54,88,13,12,19,12,55,13,12
21,12,12,12,12,12,12,25,12,12,61,15,12
22,12,12,12,12,12,12,12,12,12,12,12,12
