Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,568,326,265,464,539,220,659,724,877,280,768,914
10,402,368,261,641,436,455,891,448,1280,469,612,314
11,341,202,128,1061,474,179,469,373,1280,573,577,737
12,128,128,128,128,128,128,128,128,128,128,128,128
13,427,344,128,507,628,151,808,536,1280,129,470,1165
14,128,384,128,1229,303,383,128,1280,128,215,445,190
15,305,326,291,490,315,731,740,587,705,319,733,878
16,220,420,128,493,483,346,174,1267,575,128,521,1280
17,128,262,128,1267,357,468,129,1280,261,138,458,133
18,128,342,153,1219,322,181,128,646,1241,170,578,1069
19,128,205,128,1280,487,143,130,501,1280,131,597,1280
20,128,128,135,664,1073,143,139,225,128,693,141,128
21,128,128,128,128,128,128,298,128,128,772,179,128
22,128,128,128,128,128,128,128,128,128,128,128,128
