Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,57,15,12,12,12,12,48,103,12,12,12
10,33,31,18,46,52,32,62,73,55,27,74,50
11,42,28,22,39,49,37,63,64,105,31,24,66
12,12,12,12,12,12,12,12,12,12,12,12,12
13,12,12,12,12,12,29,67,45,53,12,78,103
14,43,46,12,43,20,20,100,38,91,19,38,81
15,18,16,12,39,43,31,95,65,51,21,68,72
16,12,22,12,105,30,32,12,30,45,12,95,105
17,22,45,12,41,40,20,15,42,85,15,39,105
18,39,38,17,34,31,12,105,47,105,12,55,66
19,17,12,12,64,41,12,83,65,105,12,55,56
20,12,12,12,12,12,12,99,69,105,12,60,61
21,12,12,12,12,12,12,12,41,12,20,105,12
22,12,12,12,12,12,12,12,12,12,12,12,12
