Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,128,717,173,128,128,130,128,609,1267,129,128,128
10,412,384,221,538,592,409,737,855,703,340,877,621
11,512,333,260,501,555,484,773,723,1240,391,279,747
12,128,128,128,128,128,128,128,128,128,128,128,128
13,128,128,130,128,134,357,845,595,689,128,981,1279
14,513,552,128,510,240,258,1175,455,1055,216,469,1009
15,214,177,128,474,543,362,1175,731,632,265,837,869
16,128,279,128,1280,360,393,128,370,564,128,1147,1280
17,260,530,128,483,465,242,179,527,1011,179,488,1208
18,473,431,205,426,373,142,1280,569,1280,128,669,806
19,205,128,128,781,514,128,1027,757,1280,128,657,715
20,128,128,128,128,131,128,1212,851,1280,131,677,769
21,128,128,128,128,128,128,128,517,128,230,1280,128
22,128,128,128,128,128,128,128,128,128,128,128,128
