Hour,lum_sum[cd],Power[w]
9,4458,164
10,2361,92
11,4851,175
12,1536,65
13,5517,201
14,1536,65
15,5919,212
16,6308,226
17,5053,183
18,4956,178
19,4006,145
20,2355,91
21,1536,65
22,1536,65
