Hour,lum_sum[cd],Power[w]
9,6252,225
10,6064,219
11,6433,233
12,1536,65
13,6705,243
14,6939,250
15,6577,233
16,6749,244
17,6165,219
18,6862,250
19,6871,244
20,5325,196
21,2388,93
22,1536,65
