Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,128,243,797,128,128,215,136,129,128,879,128,128
10,178,770,352,128,203,130,128,128,128,128,128,128
11,128,128,128,128,164,128,896,1280,331,128,884,128
12,128,128,128,128,128,128,128,128,128,128,128,128
13,128,147,128,128,703,133,270,1280,395,129,972,128
14,128,128,128,128,128,128,864,488,443,134,1280,1280
15,439,377,128,244,255,131,128,481,1280,128,602,1022
16,128,475,172,1280,453,457,128,388,129,129,128,128
17,128,211,467,128,248,588,128,128,129,128,130,129
18,128,128,128,128,212,152,543,1280,674,128,605,1239
19,128,128,130,128,355,199,556,1280,157,128,1280,128
20,128,128,128,128,195,128,916,1280,188,128,1023,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
