Hour,lum_sum[cd],Power[w]
9,3170,117
10,2530,98
11,4453,164
12,1536,65
13,4545,166
14,5258,191
15,5218,189
16,3998,148
17,2544,97
18,5347,191
19,4600,165
20,4500,163
21,1536,65
22,1536,65
