Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,37,37,22,43,35,33,56,49,94,41,64,40
10,40,35,21,49,34,35,40,49,87,51,24,76
11,43,25,26,42,38,33,56,55,76,37,63,48
12,12,12,12,12,12,12,12,12,12,12,12,12
13,25,31,24,27,40,40,62,66,99,39,41,47
14,32,39,25,39,48,27,67,48,105,44,45,55
15,39,30,22,41,50,30,56,50,103,37,46,56
16,39,30,24,51,33,39,41,46,68,36,58,61
17,26,39,20,47,47,36,57,46,105,41,56,43
18,36,39,26,42,37,38,52,57,105,37,55,45
19,31,33,20,47,56,28,63,45,94,27,71,21
20,13,28,12,50,60,12,105,67,75,12,49,14
21,19,12,12,105,14,12,12,35,103,12,12,20
22,12,12,12,12,12,12,12,12,12,12,12,12
