Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,371,413,291,565,499,524,657,624,1280,516,656,472
10,428,405,346,544,428,437,1030,566,1157,384,632,624
11,434,410,253,511,525,288,751,659,779,483,1023,164
12,128,128,128,128,128,128,128,128,128,128,128,128
13,446,457,336,446,477,568,778,573,1010,619,759,474
14,407,383,307,574,492,400,780,532,1280,561,614,447
15,398,451,312,568,512,514,866,503,1280,604,566,256
16,418,410,326,592,515,366,848,524,1226,515,666,296
17,395,417,315,535,457,522,734,549,1235,414,691,596
18,453,462,322,526,473,381,551,698,930,505,795,677
19,530,378,241,465,263,357,1241,347,441,214,396,1037
20,593,516,275,133,143,128,128,172,1034,206,1233,193
21,128,792,363,128,183,128,128,128,129,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
