Hour,lum_sum[cd],Power[w]
9,6874,241
10,6986,249
11,6285,231
12,1536,65
13,6949,256
14,6784,242
15,6835,245
16,6706,240
17,6865,245
18,6779,244
19,5916,210
20,4758,172
21,2493,96
22,1536,65
