Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,30,34,23,46,39,41,56,51,105,39,53,40
10,35,34,27,45,37,34,83,49,100,29,51,52
11,38,34,21,44,47,23,63,55,65,39,91,13
12,12,12,12,12,12,12,12,12,12,12,12,12
13,35,40,27,40,40,43,69,51,91,49,67,39
14,35,31,26,46,40,32,65,43,105,44,55,37
15,33,38,26,45,45,39,77,42,105,47,49,21
16,36,35,26,46,46,29,75,44,99,41,54,24
17,32,36,26,42,37,41,58,48,105,32,56,53
18,36,37,26,44,39,31,44,62,75,40,71,58
19,46,33,20,38,22,27,101,28,35,19,31,83
20,47,42,22,12,13,12,12,15,83,17,102,17
21,12,63,29,12,16,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
