Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,422,451,464,470,538,513,542,641,720,496,621,629
10,432,445,451,482,522,484,619,651,700,528,626,629
11,417,427,404,456,509,434,566,643,611,520,658,564
12,109,118,121,113,130,122,113,128,127,106,125,117
13,424,457,477,455,531,512,581,641,673,541,643,611
14,427,441,441,474,525,481,567,622,691,515,606,604
15,437,466,473,485,547,514,590,618,670,531,593,566
16,437,451,445,486,534,479,580,621,666,517,605,577
17,418,444,461,462,523,502,542,627,710,484,615,637
18,429,449,445,461,521,472,519,644,687,489,645,642
19,402,378,354,435,420,362,586,516,499,466,495,507
20,310,317,308,259,303,288,269,405,507,291,503,507
21,199,301,300,180,251,234,130,151,149,120,141,130
22,109,118,121,113,130,122,113,128,127,106,125,117
