Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,337,395,438,378,496,502,522,644,725,488,613,639
10,441,449,442,488,559,508,539,643,696,496,627,620
11,358,407,428,390,500,477,540,634,686,496,635,625
12,109,118,121,113,130,122,113,128,127,106,125,117
13,312,409,420,361,542,504,476,628,729,445,610,646
14,319,374,405,374,490,479,523,641,721,491,622,628
15,415,431,456,458,508,505,590,625,706,503,577,610
16,415,395,390,443,467,432,609,646,712,539,607,623
17,426,473,471,493,584,534,549,629,709,505,606,618
18,415,435,443,450,509,478,567,644,689,503,617,609
19,396,465,435,492,629,514,563,641,682,490,619,585
20,385,331,300,501,371,271,511,344,232,370,291,202
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
