Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,22,23,24,25,47,45,52,60,99,43,47,56
10,39,25,18,46,55,37,52,52,95,42,57,39
11,27,27,24,23,45,35,64,52,91,37,66,43
12,12,12,12,12,12,12,12,12,12,12,12,12
13,14,25,12,19,72,32,40,54,105,36,57,48
14,16,19,18,28,50,37,48,55,105,46,51,37
15,35,31,24,40,33,51,82,45,105,35,31,55
16,49,24,22,37,27,30,85,52,105,44,33,54
17,22,33,18,51,61,41,56,48,105,46,46,42
18,37,35,25,40,38,36,67,56,97,35,55,41
19,12,22,18,48,86,14,65,44,101,30,63,14
20,12,26,36,88,14,13,98,15,12,12,12,12
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
