Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,171,168,169,210,217,180,501,442,331,431,501,369
10,143,146,158,154,186,170,274,400,349,312,499,401
11,160,182,208,176,232,247,252,436,636,250,461,625
12,109,118,121,113,130,122,113,128,127,106,125,117
13,393,392,351,474,507,398,596,686,575,472,608,494
14,170,203,263,185,258,301,301,419,397,347,500,438
15,391,465,424,474,636,516,642,643,656,491,569,542
16,319,357,346,379,490,419,628,644,634,482,567,517
17,438,403,356,454,462,384,511,572,668,410,519,589
18,446,498,452,499,683,558,506,657,745,428,573,625
19,421,403,355,504,519,412,513,590,665,445,578,626
20,398,382,326,509,513,396,267,370,502,215,305,386
21,147,168,190,163,214,229,213,373,501,188,314,384
22,109,118,121,113,130,122,113,128,127,106,125,117
