Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,185,128,153,1087,128,419,477,336,1119,573,679,964
10,371,430,344,619,365,413,843,493,1137,585,568,417
11,426,403,209,496,499,252,1109,903,359,247,833,128
12,128,128,128,128,128,128,128,128,128,128,128,128
13,128,163,128,1280,318,138,415,1280,352,130,667,1280
14,134,214,233,526,686,250,442,903,614,430,940,196
15,456,301,134,648,460,281,693,727,470,198,892,1280
16,290,181,232,614,706,393,1106,580,972,298,624,370
17,197,472,216,630,572,152,761,924,1077,154,451,1212
18,128,187,558,1280,301,128,268,128,128,585,129,128
19,212,130,128,1280,360,129,216,128,128,668,128,128
20,128,128,128,128,128,128,208,131,129,858,146,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
