Hour,lum_sum[cd],Power[w]
9,6253,230
10,6593,238
11,5868,208
12,1536,65
13,6282,224
14,5572,201
15,6545,231
16,6372,232
17,6825,242
18,3950,144
19,3637,135
20,2370,93
21,1536,65
22,1536,65
