Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,390,314,308,493,398,356,477,543,651,461,572,637
10,419,428,432,470,493,455,574,597,641,518,582,563
11,414,415,376,466,501,404,634,671,546,520,631,494
12,109,118,121,113,130,122,113,128,127,106,125,117
13,438,360,301,580,485,352,505,732,706,425,668,699
14,331,368,364,406,496,422,483,643,604,454,634,549
15,427,399,358,481,490,399,530,653,662,461,660,694
16,406,417,409,492,552,479,625,636,636,512,596,558
17,402,446,414,483,548,456,550,700,778,449,630,718
18,390,324,302,499,377,276,310,261,206,300,248,183
19,396,298,222,500,369,235,305,258,201,306,249,181
20,127,132,136,133,152,135,245,204,165,299,233,160
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
