Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,20,20,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20,20,20
2,19,20,20,20,21,20,20,20,21,20,21,20
3,19,20,20,20,21,20,20,20,21,20,21,20
4,19,20,21,21,21,22,20,21,23,21,21,20
5,19,20,21,21,21,22,20,21,23,21,21,20
6,20,20,23,23,22,22,22,21,23,22,21,22
7,20,20,23,23,22,22,22,21,23,22,21,22
8,20,20,23,24,22,23,22,23,23,23,23,22
9,20,20,23,24,22,23,22,23,23,23,23,22
10,20,20,25,26,24,25,23,24,26,23,24,23
11,20,20,25,26,24,25,23,24,26,23,24,23
12,21,20,26,27,27,26,24,25,27,23,25,26
13,21,20,26,27,27,26,24,25,27,23,25,26
14,21,21,27,28,29,27,27,28,28,23,28,28
15,21,21,27,28,29,27,27,28,28,23,28,28
16,22,22,26,29,29,30,30,27,31,26,28,30
17,22,22,26,29,29,30,30,27,31,26,28,30
18,22,22,27,33,32,31,30,31,32,26,28,32
19,22,22,27,33,32,31,30,31,32,26,28,32
20,22,22,28,35,35,34,32,31,32,26,28,34
21,22,22,28,35,35,34,32,31,32,26,28,34
22,22,22,27,36,36,36,34,33,34,28,31,38
23,22,22,27,36,36,36,34,33,34,28,31,38
24,22,23,27,37,36,39,37,35,35,29,32,39
25,22,23,27,37,36,39,37,35,35,29,32,39
26,23,23,28,41,37,39,38,35,39,29,35,42
27,23,23,28,41,37,39,38,35,39,29,35,42
28,24,24,27,44,36,40,40,37,39,30,40,44
29,24,24,27,44,36,40,40,37,39,30,40,44
30,25,25,27,47,37,44,42,39,42,30,42,49
31,25,25,27,47,37,44,42,39,42,30,42,49
32,25,24,26,47,40,44,47,39,42,30,46,53
33,25,24,26,47,40,44,47,39,42,30,46,53
34,27,24,27,47,43,42,51,40,42,32,49,53
35,27,24,27,47,43,42,51,40,42,32,49,53
36,28,24,27,50,44,41,54,42,42,30,49,59
37,28,24,27,50,44,41,54,42,42,30,49,59
38,27,25,28,53,49,41,57,47,42,30,53,61
39,27,25,28,53,49,41,57,47,42,30,53,61
40,27,25,27,53,44,39,64,43,42,30,52,65
41,27,25,27,53,44,39,64,43,42,30,52,65
42,27,25,28,53,46,39,64,44,47,30,59,65
43,27,25,28,53,46,39,64,44,47,30,59,65
44,28,23,27,53,47,41,56,43,52,31,54,65
45,28,23,27,53,47,41,56,43,52,31,54,65
46,28,24,28,56,51,39,57,45,53,30,59,60
47,28,24,28,56,51,39,57,45,53,30,59,60
48,29,24,28,52,50,39,61,48,60,29,58,66
49,29,24,28,52,50,39,61,48,60,29,58,66
50,29,24,28,54,48,41,57,47,66,31,57,60
51,29,24,28,54,48,41,57,47,66,31,57,60
52,28,25,28,52,48,41,61,46,68,30,59,61
53,28,25,28,52,48,41,61,46,68,30,59,61
54,28,25,26,53,51,41,59,45,66,29,55,58
55,28,25,26,53,51,41,59,45,66,29,55,58
56,28,24,27,54,51,40,60,44,74,30,56,66
57,28,24,27,54,51,40,60,44,74,30,56,66
58,27,24,27,52,47,38,59,48,71,30,58,62
59,27,24,27,52,47,38,59,48,71,30,58,62
60,27,24,27,56,48,41,58,44,74,30,59,62
61,27,24,27,56,48,41,58,44,74,30,59,62
62,27,25,26,53,52,39,60,46,73,30,58,62
63,27,25,26,53,52,39,60,46,73,30,58,62
64,27,24,26,52,49,41,63,43,79,30,55,65
65,27,24,26,52,49,41,63,43,79,30,55,65
66,28,24,26,52,50,40,63,45,79,29,58,65
67,28,24,26,52,50,40,63,45,79,29,58,65
68,28,24,27,56,51,39,59,47,75,30,58,66
69,28,24,27,56,51,39,59,47,75,30,58,66
70,28,24,28,54,47,41,62,45,70,29,53,64
71,28,24,28,54,47,41,62,45,70,29,53,64
72,28,24,26,53,49,40,58,44,79,29,56,62
73,28,24,26,53,49,40,58,44,79,29,56,62
74,27,24,28,52,49,41,65,45,71,30,53,60
75,27,24,28,52,49,41,65,45,71,30,53,60
76,28,24,26,53,51,41,62,48,76,29,52,63
77,28,24,26,53,51,41,62,48,76,29,52,63
78,28,24,27,55,51,41,58,46,73,29,53,60
79,28,24,27,55,51,41,58,46,73,29,53,60
80,27,24,28,52,48,39,59,45,70,30,53,63
81,27,24,28,52,48,39,59,45,70,30,53,63
82,27,24,26,54,48,39,58,45,75,30,55,61
83,27,24,26,54,48,39,58,45,75,30,55,61
