Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,199,214,221,207,237,222,206,233,232,193,228,214
1,199,214,221,207,237,222,206,233,232,193,228,214
2,211,227,235,221,253,236,219,249,245,206,241,224
3,211,227,235,221,253,236,219,249,245,206,241,224
4,226,241,248,239,271,250,236,262,255,221,254,232
5,226,241,248,239,271,250,236,262,255,221,254,232
6,237,252,257,253,283,259,248,278,266,232,269,244
7,237,252,257,253,283,259,248,278,266,232,269,244
8,242,264,270,260,298,274,256,290,279,240,282,257
9,242,264,270,260,298,274,256,290,279,240,282,257
10,254,277,284,274,312,285,277,312,294,262,305,272
11,254,277,284,274,312,285,277,312,294,262,305,272
12,264,290,296,287,324,293,290,322,301,276,317,280
13,264,290,296,287,324,293,290,322,301,276,317,280
14,282,303,307,308,339,305,311,338,312,296,335,293
15,282,303,307,308,339,305,311,338,312,296,335,293
16,292,316,319,316,355,317,318,344,319,304,342,299
17,291,316,318,316,355,317,318,344,319,304,342,299
18,301,325,324,327,367,324,332,354,327,319,354,309
19,301,325,325,327,367,325,332,354,327,319,354,309
20,311,334,330,339,379,332,350,371,337,331,367,317
21,312,334,332,340,379,333,350,371,338,331,367,317
22,320,348,344,350,395,345,361,388,353,343,386,333
23,320,348,344,350,395,345,361,388,353,343,386,333
24,339,370,363,373,423,366,386,413,370,361,406,347
25,339,370,363,373,423,366,386,413,370,361,406,347
26,352,389,380,387,443,383,418,442,389,391,432,364
27,353,390,381,388,443,384,418,442,389,391,432,364
28,361,398,388,396,454,393,431,459,402,406,449,376
29,361,399,391,396,455,395,432,459,403,407,449,376
30,377,423,412,415,484,418,456,485,424,428,477,398
31,373,415,404,412,479,413,455,484,423,427,476,398
32,392,437,421,436,506,430,479,498,431,448,489,405
33,388,430,415,434,502,427,475,497,430,441,486,404
34,407,450,430,456,521,440,507,523,449,466,512,422
35,399,437,420,450,512,432,501,514,441,460,504,417
36,421,460,433,479,541,447,517,530,453,471,523,432
37,413,445,424,471,522,436,518,528,451,474,524,431
38,425,459,437,482,542,451,526,540,460,484,540,443
39,415,445,425,473,524,437,520,535,456,479,536,440
40,425,461,435,486,542,447,547,554,468,497,552,450
41,419,453,431,478,535,446,522,538,459,480,538,442
42,428,458,433,492,545,451,540,550,466,489,546,445
43,429,460,436,493,546,452,542,549,465,493,547,447
44,437,469,444,504,558,461,557,565,474,505,561,454
45,429,460,435,493,546,451,542,548,464,493,546,446
46,435,471,445,502,561,462,552,560,471,496,552,449
47,430,461,436,495,548,452,551,552,466,499,550,448
48,442,478,451,510,571,470,561,572,483,507,572,465
49,431,461,437,495,548,453,551,553,468,499,551,449
50,440,474,447,510,566,467,569,573,478,512,563,453
51,430,461,436,495,548,453,551,553,467,499,550,449
52,436,464,436,503,555,454,558,561,472,507,560,454
53,433,465,440,498,554,457,552,555,469,500,552,450
54,442,478,448,510,575,469,565,565,474,511,562,454
55,433,465,440,498,554,458,553,555,470,500,552,451
56,437,477,449,505,575,471,565,576,485,506,568,461
57,434,467,441,500,556,459,560,559,474,505,555,454
58,427,461,435,495,554,454,594,588,491,531,586,473
59,427,459,432,495,549,449,558,557,471,504,554,452
60,440,477,446,512,579,471,578,589,496,520,585,476
61,427,459,432,495,549,450,559,557,472,504,554,453
62,439,472,441,510,564,458,603,599,501,540,595,481
63,427,460,432,495,549,450,559,558,475,504,555,455
64,443,476,444,518,571,463,599,589,490,533,578,464
65,427,460,432,495,549,450,559,558,473,504,554,453
66,428,461,434,495,551,452,561,565,479,508,563,459
67,427,459,432,494,549,450,556,557,472,503,553,453
68,435,471,441,505,566,462,565,566,479,509,562,459
69,427,459,432,494,549,449,556,556,472,503,553,452
70,426,460,435,495,555,456,577,577,485,519,573,465
71,428,462,433,496,552,452,557,557,471,503,553,452
72,438,471,437,512,568,458,591,590,492,527,586,471
73,430,466,437,499,559,457,558,559,474,504,555,454
74,440,471,439,514,567,459,580,586,493,518,580,473
75,430,464,436,498,557,456,558,559,475,503,555,454
76,446,486,455,519,585,476,591,587,491,529,584,472
77,429,464,436,498,557,455,557,558,473,503,554,453
78,447,486,451,519,587,474,589,591,495,528,588,474
79,429,464,436,498,557,455,558,558,474,503,554,454
80,438,467,436,511,565,460,569,579,487,512,574,466
81,430,466,437,499,559,457,560,559,473,505,555,453
82,441,484,452,513,586,476,580,580,489,523,582,471
83,431,466,437,499,559,457,560,560,475,505,556,454
84,436,474,447,507,574,470,588,593,496,528,588,474
85,433,471,442,503,568,463,561,562,476,506,557,455
86,441,475,441,514,572,462,588,577,483,527,572,461
87,433,470,441,502,566,463,562,562,478,506,557,457
88,436,477,446,509,577,468,580,576,487,518,572,467
89,436,476,446,506,575,469,563,565,482,507,559,459
90,442,487,453,518,596,480,597,590,496,532,585,475
91,442,488,456,514,593,482,566,569,485,509,561,461
92,444,498,467,520,615,500,580,586,500,523,585,480
93,442,488,456,514,593,483,566,569,486,509,562,462
94,455,505,471,531,623,503,600,594,500,536,587,477
95,442,488,456,514,593,482,566,568,484,509,561,460
96,444,494,459,517,608,490,578,587,497,519,580,474
97,448,498,465,521,610,494,568,571,486,510,563,461
98,450,509,475,525,625,506,594,597,500,530,582,469
99,448,498,464,521,610,494,568,571,484,510,562,460
100,445,496,462,518,610,493,569,579,488,511,573,466
101,448,498,463,522,612,494,572,579,490,516,576,470
102,448,506,473,526,634,511,596,607,512,532,605,492
103,448,498,463,522,612,494,573,579,492,516,576,472
104,465,520,481,547,648,519,606,600,503,537,593,480
105,448,498,463,522,612,495,573,580,493,516,577,472
106,447,500,464,520,619,499,582,596,508,521,589,484
107,452,504,469,528,622,502,582,586,499,522,581,477
108,458,517,477,538,646,516,606,607,511,538,598,484
109,452,504,469,528,622,503,582,587,501,523,582,478
110,451,502,467,532,624,501,599,604,509,537,595,482
111,446,498,464,524,617,497,581,585,499,522,581,477
112,451,511,476,528,642,517,582,588,501,521,582,477
113,446,497,463,524,617,497,581,586,498,522,582,477
114,444,494,458,524,618,495,593,595,504,526,586,478
115,445,494,458,523,616,494,581,586,500,522,583,479
116,445,497,460,527,628,501,604,600,508,536,593,484
117,450,503,466,530,631,505,584,591,506,524,586,483
118,455,508,469,536,640,508,602,608,514,532,595,485
119,452,506,468,532,636,508,585,591,505,525,586,482
120,464,522,478,551,665,525,609,617,523,537,601,490
121,452,507,469,532,637,509,585,593,509,525,587,484
122,461,520,477,544,658,522,599,610,523,533,600,494
123,452,507,470,532,637,510,586,594,512,525,588,486
124,464,527,486,549,670,534,620,618,527,547,608,497
125,452,507,470,533,638,511,586,594,513,526,589,487
126,463,524,482,545,661,527,602,617,532,534,605,501
127,453,508,470,533,638,511,586,595,516,526,589,489
128,455,519,479,536,657,524,599,618,531,538,607,501
129,452,507,470,533,638,511,586,594,513,526,589,487
130,460,523,482,547,670,531,601,621,535,540,616,508
131,452,507,470,533,638,511,586,594,514,526,589,488
132,461,519,480,542,655,524,590,609,529,529,598,498
133,452,507,470,532,638,511,584,595,517,524,589,490
134,454,507,467,535,643,512,590,609,530,529,601,501
135,453,506,468,533,641,513,585,596,520,525,590,492
136,444,498,460,525,633,505,596,602,520,532,599,494
137,447,499,460,529,634,504,583,594,517,524,589,490
138,456,520,479,544,671,532,614,617,531,545,609,503
139,447,499,460,529,634,504,583,594,517,524,589,490
140,463,524,481,551,673,532,599,621,537,535,609,504
141,447,499,460,529,633,504,583,594,516,524,588,489
142,454,512,474,538,659,525,604,619,536,538,606,502
143,447,499,460,529,634,504,583,594,518,524,589,490
144,451,499,457,534,636,501,606,605,520,542,603,494
145,446,496,455,528,631,499,583,594,517,524,588,490
146,459,515,469,548,660,519,611,614,525,543,601,492
147,446,496,454,528,631,499,583,593,514,523,588,488
148,445,496,455,528,637,502,617,626,535,551,619,507
149,447,498,456,529,634,500,583,593,514,523,588,488
150,444,497,457,528,635,502,601,615,532,537,613,508
151,445,497,457,528,634,501,583,594,516,524,588,489
152,450,504,462,534,641,506,595,602,519,532,593,490
153,445,497,456,528,633,501,583,593,514,523,588,488
154,444,500,462,528,641,509,605,614,527,539,603,494
155,447,501,460,531,640,506,584,595,518,524,589,491
156,453,517,472,537,666,524,590,605,527,531,598,496
157,448,502,461,531,641,507,585,597,522,525,591,494
158,446,504,460,527,645,508,592,599,522,532,592,491
159,448,502,461,532,641,508,585,597,524,525,591,495
160,446,501,463,530,645,511,609,622,540,542,619,513
161,450,505,464,533,645,511,586,598,524,525,592,495
162,459,525,479,546,676,531,618,628,541,546,614,505
163,450,505,464,533,644,511,585,598,523,525,591,494
164,455,514,471,544,665,524,620,636,551,556,633,523
165,450,505,464,533,645,511,586,598,524,525,592,495
166,464,527,483,552,681,538,622,636,551,556,629,520
167,450,505,465,534,645,512,586,599,527,526,592,497
168,452,510,467,539,654,516,602,618,539,541,614,509
169,452,509,469,536,652,517,587,601,530,527,594,499
170,448,511,472,532,657,523,596,621,545,535,617,515
171,454,514,472,539,658,521,588,603,531,527,595,499
172,463,529,488,555,687,544,617,632,553,544,614,513
173,455,514,473,539,658,522,589,604,534,528,596,501
174,450,511,471,532,658,523,589,614,545,528,604,509
175,456,513,472,540,660,522,588,606,539,528,600,507
176,477,544,496,567,706,554,631,647,568,559,640,535
177,456,513,472,541,660,523,588,607,540,528,600,507
178,454,509,467,542,658,519,592,616,548,534,613,516
179,449,506,465,536,653,516,587,605,539,527,599,507
180,454,516,472,544,672,527,595,616,546,538,616,519
181,449,506,465,535,653,515,587,604,536,527,598,505
182,459,525,481,547,683,537,613,636,555,548,628,521
183,449,505,464,535,652,514,586,603,533,527,597,503
184,466,526,479,559,685,534,624,636,553,552,626,521
185,449,505,464,535,652,514,586,602,531,526,597,501
186,456,522,479,549,682,535,611,620,539,547,614,508
187,449,505,464,535,652,513,586,602,530,526,596,501
188,455,524,478,545,682,535,609,625,549,542,617,516
189,449,506,464,535,653,515,586,604,535,527,598,504
190,455,516,475,545,673,531,612,632,552,547,628,522
191,449,505,464,535,652,514,586,603,533,527,597,502
192,456,515,473,544,667,524,607,624,547,543,624,519
193,449,506,464,535,653,515,586,604,535,527,598,504
194,448,506,465,536,656,518,603,624,549,540,614,513
195,449,506,465,535,653,515,587,604,537,527,598,505
196,442,500,461,530,651,515,607,617,546,537,608,511
197,445,501,461,533,650,513,587,605,541,527,600,508
198,459,529,486,553,693,546,604,627,559,543,626,528
199,445,501,461,533,651,514,587,606,542,527,600,509
200,452,508,464,542,663,520,596,620,548,534,610,511
201,445,501,460,533,650,513,587,605,539,527,599,507
202,446,499,456,535,649,510,610,619,546,545,611,512
203,444,497,454,531,645,507,586,604,539,527,599,507
204,465,527,480,560,693,541,629,640,567,559,634,534
205,444,497,455,531,646,508,587,606,544,527,600,510
206,459,520,473,555,682,533,623,631,556,554,623,522
207,444,497,454,531,646,507,586,605,541,527,599,508
208,449,506,463,537,658,517,600,614,546,535,606,511
209,444,497,454,531,646,508,586,605,542,527,600,509
210,445,505,462,536,663,521,621,631,557,551,619,519
211,444,497,455,531,646,508,587,606,544,527,600,510
212,456,510,463,549,668,523,612,633,566,542,619,525
213,445,498,456,532,647,510,587,608,549,528,602,514
214,452,512,466,541,669,524,602,624,564,534,612,523
215,445,498,457,532,648,511,588,610,555,529,603,518
216,454,518,475,544,680,537,620,642,577,555,637,538
217,445,499,457,533,648,512,588,610,556,529,604,519
218,445,506,466,535,666,527,596,628,573,536,621,534
219,445,499,457,533,649,512,589,611,558,529,605,520
220,446,504,464,536,658,520,619,642,577,552,638,541
221,446,501,458,534,651,514,589,611,555,529,604,518
222,462,524,475,555,688,537,610,625,560,543,613,519
223,446,500,458,534,650,513,588,609,552,528,603,516
224,446,509,468,538,670,529,608,632,568,542,618,524
225,446,501,458,534,651,514,589,610,555,529,604,518
226,447,508,464,535,668,526,596,616,556,535,611,520
227,446,500,458,534,650,513,588,609,552,528,603,516
228,460,519,473,554,684,536,614,638,568,546,630,531
229,445,500,457,533,650,512,588,608,548,528,602,513
230,452,518,474,543,682,535,601,626,561,536,615,522
231,445,500,457,533,650,512,588,608,548,528,602,513
232,443,495,453,534,647,508,588,612,551,526,605,514
233,444,496,454,535,648,509,592,616,556,532,611,522
234,462,521,473,559,687,534,637,657,585,566,647,545
235,444,496,455,536,648,510,592,617,560,533,612,524
236,455,518,474,552,687,538,604,636,576,541,635,542
237,444,496,455,536,648,510,592,617,560,533,612,524
238,451,507,463,545,666,521,615,643,574,551,633,535
239,444,496,454,535,648,509,592,616,556,532,611,521
240,441,502,463,534,657,519,599,627,566,538,628,534
241,444,496,455,536,648,510,592,617,560,533,612,524
242,448,504,461,542,665,521,605,634,567,540,620,524
243,444,496,454,535,648,509,592,616,557,532,611,522
244,443,496,453,538,652,510,602,630,562,537,621,524
245,442,496,454,535,650,509,592,615,554,532,610,520
246,438,499,457,531,660,518,601,636,571,541,633,535
247,447,505,461,541,663,519,594,619,559,534,613,523
248,463,532,483,563,710,551,643,668,590,572,660,553
249,447,504,460,541,662,518,593,618,556,533,612,521
250,453,520,472,548,687,535,597,626,566,536,618,528
251,447,505,461,541,663,520,594,620,560,534,613,524
252,463,529,480,562,701,545,620,642,573,554,633,534
253,447,505,461,541,663,519,594,619,559,534,613,523
254,456,526,478,553,699,546,618,639,574,550,627,531
255,447,505,462,541,664,521,595,621,564,534,614,526
256,450,509,467,544,670,526,620,636,576,554,630,538
257,448,506,463,542,665,522,596,623,570,535,616,531
258,443,505,464,538,666,524,595,631,581,536,631,544
259,446,508,466,542,668,526,594,625,576,534,618,535
260,452,524,480,548,695,546,603,648,596,544,645,556
261,447,508,466,542,668,527,595,626,578,534,618,536
262,455,520,476,554,690,541,636,666,605,566,656,562
263,447,508,466,542,668,527,595,626,578,534,618,536
264,442,505,466,539,669,527,629,652,592,561,650,553
265,444,505,465,540,667,526,594,625,578,534,618,536
266,438,498,459,537,662,522,607,634,583,546,631,544
267,437,497,458,535,660,520,593,624,576,533,617,535
268,441,513,471,542,689,542,614,653,597,551,647,557
269,437,496,457,535,659,519,592,622,572,533,615,532
270,440,510,469,541,685,538,619,643,588,551,631,543
271,437,497,458,535,660,521,593,625,579,534,618,537
272,447,515,473,550,689,541,611,635,583,545,626,541
273,437,497,457,535,659,520,593,623,574,533,616,534
274,446,521,479,548,700,552,623,660,601,553,648,554
275,437,497,458,535,660,520,593,624,577,533,617,536
276,447,521,479,549,699,549,612,651,600,551,648,561
277,437,497,458,535,660,520,593,624,577,533,617,536
278,430,493,457,528,657,521,607,644,588,544,633,542
279,433,493,456,532,655,518,592,623,575,533,616,534
280,445,518,476,551,697,548,629,652,597,556,637,550
281,433,493,456,532,656,518,593,624,578,533,617,536
282,447,507,465,551,680,532,626,658,596,560,650,554
283,433,493,455,532,655,517,592,622,574,533,616,533
284,451,515,474,555,687,540,621,652,597,552,641,551
285,433,494,456,532,656,519,593,624,579,533,617,537
286,447,515,474,552,689,543,607,652,603,549,646,558
287,434,494,457,533,657,520,593,626,583,534,619,540
288,430,497,461,529,664,526,603,637,591,540,632,547
289,434,494,457,533,657,520,594,626,585,534,619,541
290,442,514,475,547,693,547,616,645,596,551,634,549
291,434,494,457,533,656,520,593,625,582,534,618,539
292,439,501,463,540,668,528,624,663,610,558,657,567
293,434,494,457,533,657,520,593,626,583,534,619,540
294,453,523,479,558,702,552,611,647,603,547,633,552
295,434,495,458,533,658,522,594,628,589,535,620,544
296,443,517,479,545,694,549,623,660,615,554,651,566
297,435,495,459,534,658,523,595,629,593,535,622,547
298,439,503,465,542,674,534,608,645,602,541,633,554
299,434,495,458,533,658,522,594,628,589,535,620,544
300,433,496,459,537,666,527,629,666,616,559,658,568
301,436,497,461,535,662,525,595,630,594,535,622,547
302,441,505,467,542,675,536,618,647,605,550,636,553
303,436,498,462,536,663,527,596,632,598,536,624,550
304,437,504,469,538,672,535,609,644,607,547,640,561
305,436,498,462,536,663,527,596,632,600,536,624,551
306,440,504,468,542,672,533,618,649,610,549,641,561
307,436,498,462,536,663,528,597,633,602,536,625,552
308,437,503,467,541,676,537,627,662,619,555,648,565
309,436,499,462,536,663,528,597,634,603,537,625,553
310,452,523,483,558,705,558,604,648,618,539,636,563
311,437,499,463,536,664,530,598,635,608,537,627,557
312,430,496,461,529,667,532,603,653,623,546,649,573
313,435,499,462,537,668,532,599,638,612,538,628,560
314,444,511,472,550,688,546,611,658,630,546,651,576
315,436,499,463,537,669,533,599,639,617,538,630,563
316,442,507,468,548,685,543,628,668,631,563,657,577
317,435,499,462,537,668,532,598,638,612,538,628,559
318,434,500,464,539,676,537,621,663,628,559,659,577
319,438,503,465,540,675,537,600,639,613,538,629,560
320,443,519,480,546,703,557,612,661,628,546,643,570
321,437,503,465,540,674,536,599,638,610,538,628,558
322,449,523,481,553,707,559,620,661,627,557,650,573
323,437,503,465,540,674,536,599,638,610,538,628,558
324,456,527,485,565,714,564,639,680,643,569,672,592
325,438,503,465,540,675,537,600,639,613,538,629,560
326,440,503,464,543,677,536,612,655,622,548,649,574
327,437,502,465,539,674,535,599,637,608,538,628,557
328,442,516,477,546,698,554,618,661,624,555,658,578
329,437,502,464,539,673,534,598,635,603,537,626,553
330,437,510,471,540,688,545,603,646,612,545,639,561
331,437,502,464,539,674,535,599,636,606,538,627,556
332,438,509,469,543,688,543,624,655,614,552,640,559
333,437,502,464,539,674,534,598,636,605,537,627,554
334,435,505,467,536,679,538,608,643,610,544,634,558
335,437,502,464,539,674,535,599,637,608,538,628,557
336,450,516,473,556,697,548,613,656,619,546,639,563
337,437,502,464,539,674,535,599,636,606,538,627,556
338,446,512,472,551,688,543,630,662,621,562,656,574
339,437,502,464,539,673,534,598,635,603,537,626,553
340,440,515,477,543,694,550,614,649,614,549,640,561
341,437,502,464,539,674,535,599,637,608,538,628,557
342,456,528,485,565,715,563,640,681,638,569,668,583
343,437,502,464,539,674,535,599,637,608,538,628,557
344,437,507,472,542,686,548,622,667,636,554,652,578
345,438,503,466,540,676,538,600,640,616,539,630,562
346,456,528,486,564,713,564,631,675,643,562,663,585
347,438,504,467,541,677,539,601,642,621,540,632,566
348,441,506,470,548,683,545,635,667,641,565,662,589
349,439,505,468,541,678,541,601,644,627,540,634,570
350,436,505,471,535,678,544,608,654,635,547,644,576
351,439,505,468,541,678,541,602,645,629,540,634,571
352,441,514,478,547,698,557,615,662,642,546,646,579
353,439,505,469,541,678,542,602,645,630,541,635,572
354,441,511,473,543,688,547,606,655,638,546,646,580
355,439,505,468,541,678,541,602,645,629,540,634,571
356,432,503,470,533,680,546,605,652,635,546,646,581
357,439,508,472,543,684,546,603,646,630,541,635,572
358,439,514,476,545,698,556,613,655,634,546,639,574
359,439,508,471,543,684,545,602,645,628,541,634,570
360,437,509,473,540,688,550,602,652,632,544,646,579
361,438,507,471,542,683,544,602,644,624,540,633,568
362,445,512,473,553,692,549,611,651,630,543,639,573
363,439,508,471,542,683,545,602,645,626,540,634,569
