Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,396,464,286,563,471,529,905,572,1280,516,498,264
10,514,385,286,597,346,293,951,626,1180,327,781,532
11,566,323,394,469,339,491,806,617,1121,500,567,730
12,128,128,128,128,128,128,128,128,128,128,128,128
13,233,389,259,688,591,550,594,663,1109,541,697,559
14,443,410,306,559,346,619,658,478,926,555,670,570
15,450,399,276,561,512,462,857,557,1280,435,386,671
16,131,226,130,1105,130,429,869,482,680,128,817,175
17,482,399,317,602,465,491,653,546,1267,586,681,533
18,469,352,174,506,446,341,810,613,1093,372,814,733
19,574,128,134,629,629,129,709,583,1280,427,837,727
20,129,128,131,128,666,134,243,1024,1144,128,729,926
21,128,128,128,128,231,128,962,1280,246,128,928,128
22,128,128,128,128,128,128,128,128,128,128,128,128
