Hour,lum_sum[cd],Power[w]
9,6751,244
10,6824,248
11,6930,245
12,1536,65
13,6881,251
14,6546,234
15,6849,243
16,5307,187
17,7026,254
18,6730,242
19,6791,247
20,5515,199
21,4544,165
22,1536,65
