Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2903.18,107.90430000000003
3,2919.4900000000002,107.90430000000003
4,2971.7751999999996,109.60710000000003
5,2997.4051999999997,109.60710000000003
6,3045.4644789999998,111.73560000000003
7,3073.424479,111.73560000000003
8,3092.89428287,113.86410000000004
9,3134.8342828700006,113.86410000000004
10,3165.5253706077997,115.99260000000002
11,3193.4853706078,115.99260000000002
12,3308.5243978590365,120.67530000000001
13,3359.7843978590363,120.67530000000001
14,3400.6882664538703,123.65520000000002
15,3426.3182664538704,123.65520000000002
16,3460.62398767999,124.93230000000004
17,3486.2539876799897,124.93230000000004
18,3563.714705423746,128.3379
19,3573.034705423746,128.3379
20,3665.6576138725122,132.1692
21,3707.597613872512,132.1692
22,3764.568733517767,134.7234
23,3798.628864524393,134.7234
24,3883.0727283995657,139.40610000000004
25,3916.239302856914,139.40610000000004
26,3905.360361153955,139.40610000000004
27,3905.360361153955,139.40610000000004
28,3923.9011641987963,140.25750000000002
29,4002.306656463602,140.25750000000002
30,4033.832426332024,143.66310000000001
31,4079.1261303293304,143.66310000000001
32,4090.7789014810355,145.36590000000004
33,4140.920534296272,145.36590000000004
34,4292.519865171699,152.17710000000002
35,4315.987621890176,152.17710000000002
36,4393.313246353499,155.58270000000002
37,4429.67057619807,155.58270000000002
38,4538.89196892732,161.11680000000004
39,4564.880478955368,161.11680000000004
40,4688.306003669442,165.37380000000002
41,4728.896788528038,165.37380000000002
42,4741.4431473811455,166.6509
43,4796.464113449858,166.6509
44,4763.588512574278,167.50230000000002
45,4756.426880654309,167.50230000000002
46,4872.9359545208845,171.75930000000002
47,4910.008031110778,171.75930000000002
48,5019.089036272728,176.86769999999999
49,5096.74688955278,176.86769999999999
50,5153.438865523622,181.97610000000003
51,5231.393195041391,181.97610000000003
52,5338.330369229903,187.9359
53,5342.9580063308185,187.9359
54,5493.816289374155,192.6186
55,5376.486653285123,192.6186
56,5469.1162168697865,191.7672
57,5454.619735696165,191.7672
58,5491.383143940134,193.89569999999998
59,5532.648572511843,193.89569999999998
60,5779.5482025504125,202.40970000000002
61,5581.485898391514,202.40970000000002
62,5661.165672947903,199.42980000000003
63,5651.147819088412,199.42980000000003
64,5674.070089321132,199.8555
65,5677.026251068174,199.8555
66,5719.691288796119,202.40970000000004
67,5654.101215649426,202.40970000000004
68,5671.560076513524,199.42980000000003
69,5665.710421049338,199.42980000000003
70,5654.905053606528,199.0041
71,5638.84262150712,199.0041
72,5700.877299592517,200.70690000000002
73,5656.249464083748,200.70690000000002
74,5666.088613001844,199.00410000000002
75,5649.220806277624,199.00410000000002
76,5860.613645428687,207.0924
77,5667.620686046828,207.0924
78,5721.706886825427,201.5583
79,5733.026368028484,201.5583
80,5705.168391547265,201.1326
81,5701.270912724464,201.1326
82,5798.992014129667,204.1125
83,5715.236137185427,204.1125
84,5807.532784135964,203.6868
85,5827.892531064327,203.6868
86,5940.97889793917,210.07229999999998
87,5877.083595358697,210.07229999999998
88,5984.900503258348,210.9237
89,5904.975550101029,210.9237
90,5921.101721541289,208.79520000000002
91,5892.181891574889,208.79520000000002
92,5928.546125629124,209.2209
93,5925.404262829429,209.2209
94,5967.344556585462,210.498
95,5925.404262829429,210.498
96,6090.0190152204,214.3293
97,5964.189240972086,214.3293
98,6067.779825669146,214.32930000000002
99,6005.499208292006,214.32930000000002
100,6107.578768891803,216.0321
101,6055.007654529716,216.0321
102,6242.605851590052,219.43770000000004
103,6098.159288497407,219.43770000000004
104,6089.079025234561,214.3293
105,6065.737366084606,214.3293
106,6074.686152118395,214.32930000000002
107,6049.832413215282,214.32930000000002
108,6072.202493604319,214.3293
109,6081.509260345889,214.3293
110,6182.8914328326955,217.73489999999998
111,6136.498688172864,217.73489999999998
112,6260.787924948168,220.71480000000003
113,6155.5051248262735,220.71480000000003
114,6181.859552963972,218.16060000000004
115,6136.118559439796,218.16060000000004
116,6364.889411726535,224.5461
117,6202.614478715413,224.5461
118,6344.550186855688,223.6947
119,6202.614478715413,223.6947
120,6350.461269336432,223.6947
121,6253.436359876063,223.6947
122,6267.603822169806,221.56619999999998
123,6289.017392287507,221.56619999999998
124,6170.96487631517,218.5863
125,6204.263372851628,218.5863
126,6312.86401933761,222.8433
127,6215.362871697114,222.8433
128,6120.077362823122,216.45780000000002
129,6108.86686898918,216.45780000000002
130,6242.637759835668,221.56620000000004
131,6187.340325826766,221.56620000000004
132,6151.727245214053,217.30920000000003
133,6133.411306298953,217.30920000000003
134,6120.723859314257,217.3092
135,6114.666612412209,217.3092
136,6184.896784604885,219.8634
137,6173.443231583561,219.8634
138,6252.838737813692,221.1405
139,6161.100141557577,221.1405
140,6317.200103901126,223.69469999999998
141,6173.319800683302,223.69469999999998
142,6227.716954611502,221.14050000000003
143,6239.414916480372,221.14050000000003
144,6258.095923906775,222.41760000000002
145,6239.414916480372,222.41760000000002
146,6314.5734492780675,224.12040000000002
147,6239.414916480372,224.12040000000002
148,6215.861160621808,220.2891
149,6215.861160621808,220.2891
150,6352.203725143816,226.24890000000002
151,6215.861160621808,226.24890000000002
152,6207.961403505848,219.8634
153,6209.222038799769,219.8634
154,6312.558586303253,224.5461
155,6209.222038799769,224.5461
156,6236.45519526959,221.9919
157,6216.324335560587,221.9919
158,6168.167586845657,218.58630000000002
159,6168.167586845657,218.58630000000002
160,6159.930994418385,218.58630000000002
161,6139.006545392813,218.58630000000002
162,6214.88908490745,220.7148
163,6139.006545392813,220.7148
