Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,131,193,133,1280,128,163,409,396,1277,454,944,826
10,128,128,128,128,128,506,130,439,1280,370,782,774
11,462,310,200,456,502,464,1008,747,903,312,702,530
12,128,128,128,128,128,128,128,128,128,128,128,128
13,293,463,198,588,346,672,132,1280,262,273,175,135
14,233,131,283,790,133,222,447,460,1280,582,851,879
15,128,128,131,253,1280,223,732,559,1280,481,589,263
16,409,352,350,624,397,484,584,393,803,363,845,887
17,405,512,255,561,293,267,1267,291,128,325,568,234
18,695,129,131,128,128,413,128,128,942,165,1266,1279
19,128,129,128,128,128,128,128,184,1164,188,1120,1280
20,128,128,128,128,128,128,128,128,128,128,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
