Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,416,327,287,537,412,324,475,583,695,455,626,681
10,175,208,273,192,268,332,303,482,651,326,523,619
11,415,419,413,461,517,469,615,675,676,517,640,610
12,109,118,121,113,130,122,113,128,127,106,125,117
13,365,394,406,408,459,447,345,560,502,301,441,381
14,349,298,304,422,373,337,480,589,706,476,631,686
15,330,436,423,405,628,533,536,619,679,477,583,570
16,412,411,423,455,479,449,480,560,621,443,590,621
17,396,386,345,441,417,330,590,466,342,479,460,339
18,301,256,272,259,286,307,287,454,624,314,577,702
19,160,179,207,174,227,239,275,447,641,301,554,699
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
