Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
23,1314314,4407,1309906,1969267,4407,1964860,4407,4407,0,1876755,4407,1872347,1314314,4407,1309906,4407,4407,0,2375065,4407,2370658,1660456,4407,1656049,4407,4407,0,1660456,4407,1656049,1644028,4407,1639621,1271087,4407,1266679
24,1169280,4566,1164713,1751636,4566,1747069,4566,4566,0,1342246,4566,1337679,1169280,4566,1164713,4566,4566,0,2003411,4566,1998844,1045789,4566,1041222,4566,4566,0,1045789,4566,1041222,1028726,4566,1024159,811077,4566,806510
25,1166779,4574,1162204,1747881,4574,1743307,4574,4574,0,1338521,4574,1333947,1166779,4574,1162204,4574,4574,0,1998830,4574,1994255,1040211,4574,1035636,4574,4574,0,1040211,4574,1035636,1024289,4574,1019714,805184,4574,800609
26,1228779,4680,1224099,1652820,4680,1648140,364047,4680,359367,1268055,4680,1263375,1435060,4680,1430380,4680,4680,0,1532219,4680,1527539,894685,4680,890005,4680,4680,0,894685,4680,890005,860619,4680,855939,723284,4680,718604
27,1228819,4700,1224118,1801690,4700,1796989,443615,4700,438914,1258950,4700,1254249,1663321,4700,1658620,155792,4700,151091,1524083,4700,1519382,874832,4700,870131,4700,4700,0,874832,4700,870131,844710,4700,840009,702483,4700,697782
28,1247254,4848,1242406,1775790,4848,1770942,729162,4848,724314,1019787,4848,1014939,1944561,4848,1939713,230117,4848,225269,1096584,4848,1091736,598715,4848,593867,4848,4848,0,598715,4848,593867,520499,4848,515651,567572,4848,562724
29,1234702,4829,1229873,1782830,4829,1778001,656171,4829,651342,988054,4829,983225,1852199,4829,1847370,227137,4829,222308,1208200,4829,1203371,602506,4829,597677,4829,4829,0,602506,4829,597677,527218,4829,522389,566018,4829,561189
30,1330107,5012,1325095,2183113,5012,2178100,1135406,5012,1130393,984776,5012,979764,2448869,5012,2443857,420311,5012,415298,952221,5012,947208,368622,5012,363609,282962,5012,277949,368622,5012,363609,347721,5012,342708,309070,5012,304057
31,1227753,4920,1222832,1776085,4920,1771165,687910,4920,682989,909795,4920,904874,1883981,4920,1879061,243026,4920,238106,1136643,4920,1131723,389088,4920,384167,4920,4920,0,389088,4920,384167,368428,4920,363507,324036,4920,319116
32,1285199,5238,1279960,2204513,5238,2199274,1449685,5238,1444446,738716,5238,733477,2700631,5238,2695392,543301,5238,538062,540920,5238,535681,48750,5238,43511,394244,5238,389005,48750,5238,43511,35555,5238,30316,57665,5238,52426
