Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,739853,2796,737057,5505802,2796,5503006,1016071,2796,1013275,4748144,2796,4745348,3773923,2796,3771127,12825316,2796,12822520,687668,2796,684872,11529671,2796,11526875,2685662,2796,2682866,345232,2796,342436,7116657,2796,7113861,4288788,2796,4285992
2,536872,2933,533938,4741632,2933,4738698,718517,2933,715583,4209916,2933,4206982,3116086,2933,3113153,11715961,2933,11713027,598138,2933,595204,10499730,2933,10496796,2363275,2933,2360342,300535,2933,297602,6548296,2933,6545363,3969705,2933,3966772
3,536872,2933,533938,4741632,2933,4738698,718517,2933,715583,4209916,2933,4206982,3116086,2933,3113153,11715961,2933,11713027,598138,2933,595204,10499730,2933,10496796,2363275,2933,2360342,300535,2933,297602,6548296,2933,6545363,3969705,2933,3966772
4,436282,3016,433265,4223360,3016,4220343,551926,3016,548909,3820540,3016,3817523,2726442,3016,2723425,10810610,3016,10807593,542960,3016,539943,9670987,3016,9667970,2140999,3016,2137982,272988,3016,269971,6108911,3016,6105894,3713650,3016,3710633
5,436282,3016,433265,4223360,3016,4220343,551926,3016,548909,3820540,3016,3817523,2726442,3016,2723425,10810610,3016,10807593,542960,3016,539943,9670987,3016,9667970,2140999,3016,2137982,272988,3016,269971,6108911,3016,6105894,3713650,3016,3710633
6,330241,3135,327106,3856930,3135,3853794,426954,3135,423818,3534381,3135,3531245,2399390,3135,2396255,10070202,3135,10067067,441487,3135,438352,8937724,3135,8934589,1948521,3135,1945386,222311,3135,219176,5578437,3135,5575301,3427768,3135,3424632
7,330241,3135,327106,3856930,3135,3853794,426954,3135,423818,3534381,3135,3531245,2399390,3135,2396255,10070202,3135,10067067,441487,3135,438352,8937724,3135,8934589,1948521,3135,1945386,222311,3135,219176,5578437,3135,5575301,3427768,3135,3424632
8,241767,3262,238505,3426902,3262,3423639,291360,3262,288098,3212170,3262,3208908,2062231,3262,2058969,9103769,3262,9100507,369525,3262,366262,8075933,3262,8072670,1682234,3262,1678971,186393,3262,183131,4948602,3262,4945339,3055980,3262,3052718
9,241767,3262,238505,3426902,3262,3423639,291360,3262,288098,3212170,3262,3208908,2062231,3262,2058969,9103769,3262,9100507,369525,3262,366262,8075933,3262,8072670,1682234,3262,1678971,186393,3262,183131,4948602,3262,4945339,3055980,3262,3052718
