Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5873636,2796,5870840,13571791,2796,13568995,1198727,2796,1195931,15074058,2796,15071262,29006981,2796,29004185,13190629,2796,13187833,24008887,2796,24006091,48875851,2796,48873055,36384172,2796,36381376,9953501,2796,9950705,44274882,2796,44272086,18015773,2796,18012977
2,4871842,3047,4868795,11068115,3047,11065068,649048,3047,646000,12878982,3047,12875935,25174377,3047,25171330,10837884,3047,10834837,21249527,3047,21246479,43394497,3047,43391449,32867291,3047,32864244,8620735,3047,8617687,39522719,3047,39519672,15844501,3047,15841453
3,4871842,3047,4868795,11068115,3047,11065068,649048,3047,646000,12878982,3047,12875935,25174377,3047,25171330,10837884,3047,10834837,21249527,3047,21246479,43394497,3047,43391449,32867291,3047,32864244,8620735,3047,8617687,39522719,3047,39519672,15844501,3047,15841453
4,4144798,3250,4141547,9290382,3250,9287131,370761,3250,367510,11190411,3250,11187160,22196609,3250,22193358,9023184,3250,9019934,18934664,3250,18931414,38651279,3250,38648028,29802464,3250,29799213,7494013,3250,7490762,35393616,3250,35390365,13904848,3250,13901597
5,4144798,3250,4141547,9290382,3250,9287131,370761,3250,367510,11190411,3250,11187160,22196609,3250,22193358,9023184,3250,9019934,18934664,3250,18931414,38651279,3250,38648028,29802464,3250,29799213,7494013,3250,7490762,35393616,3250,35390365,13904848,3250,13901597
6,3587501,3440,3584061,8046303,3440,8042862,192314,3440,188874,9907638,3440,9904197,20100157,3440,20096717,7810241,3440,7806800,17169387,3440,17165947,35154950,3440,35151510,27606581,3440,27603141,6567198,3440,6563758,32233376,3440,32229936,12438657,3440,12435217
7,3587501,3440,3584061,8046303,3440,8042862,192314,3440,188874,9907638,3440,9904197,20100157,3440,20096717,7810241,3440,7806800,17169387,3440,17165947,35154950,3440,35151510,27606581,3440,27603141,6567198,3440,6563758,32233376,3440,32229936,12438657,3440,12435217
8,3074719,3626,3071093,6736318,3626,6732692,42430,3626,38804,8617857,3626,8614230,18050303,3626,18046676,6547372,3626,6543745,15565868,3626,15562241,31987189,3626,31983562,25617805,3626,25614178,5855947,3626,5852320,29585804,3626,29582177,11296550,3626,11292924
9,3074719,3626,3071093,6736318,3626,6732692,42430,3626,38804,8617857,3626,8614230,18050303,3626,18046676,6547372,3626,6543745,15565868,3626,15562241,31987189,3626,31983562,25617805,3626,25614178,5855947,3626,5852320,29585804,3626,29582177,11296550,3626,11292924
10,2506324,3858,2502466,5350367,3858,5346509,3858,3858,0,7102733,3858,7098875,15553045,3858,15549187,4948120,3858,4944261,13407232,3858,13403374,27474393,3858,27470534,22645509,3858,22641650,4887440,3858,4883581,25614472,3858,25610613,9499199,3858,9495340
11,2506324,3858,2502466,5350367,3858,5346509,3858,3858,0,7102733,3858,7098875,15553045,3858,15549187,4948120,3858,4944261,13407232,3858,13403374,27474393,3858,27470534,22645509,3858,22641650,4887440,3858,4883581,25614472,3858,25610613,9499199,3858,9495340
12,2230371,4018,2226353,4657718,4018,4653700,4018,4018,0,6256935,4018,6252917,14320876,4018,14316858,4196302,4018,4192283,12274329,4018,12270310,24890492,4018,24886474,21063424,4018,21059406,4258910,4018,4254891,23439840,4018,23435821,8459310,4018,8455292
13,2232075,4015,2228059,4662875,4015,4658859,4015,4015,0,6261522,4015,6257506,14326496,4015,14322480,4201761,4015,4197745,12278991,4015,12274975,24900358,4015,24896342,21068103,4015,21064087,4260506,4015,4256490,23446326,4015,23442310,8462395,4015,8458380
14,1899970,4226,1895744,3750280,4226,3746054,4226,4226,0,5002742,4226,4998515,12203028,4226,12198802,3003128,4226,2998902,10470320,4226,10466093,21169213,4226,21164987,18441699,4226,18437472,3373770,4226,3369544,20042046,4226,20037819,7021889,4226,7017663
15,1895355,4234,1891121,3736945,4234,3732711,4234,4234,0,4991034,4234,4986800,12188097,4234,12183862,2989428,4234,2985194,10457555,4234,10453320,21143393,4234,21139159,18428671,4234,18424437,3369599,4234,3365365,20024499,4234,20020264,7013689,4234,7009455
