Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,28,38,25,51,32,44,67,29,99,25,80,48
10,39,28,26,36,45,36,62,53,102,48,36,57
11,33,32,26,47,31,48,65,38,76,34,59,50
12,12,12,12,12,12,12,12,12,12,12,12,12
13,12,27,18,59,41,31,75,65,97,25,33,53
14,40,27,23,44,46,33,57,55,103,40,52,51
15,34,31,27,46,31,37,63,55,103,50,46,39
16,36,31,25,48,29,34,68,45,105,43,62,51
17,24,36,23,46,62,27,65,56,105,34,28,55
18,38,29,27,43,36,38,54,56,88,33,45,63
19,12,16,12,96,12,39,15,28,94,31,78,57
20,12,33,24,98,13,15,12,40,12,37,63,40
21,24,36,12,102,16,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
