Hour,lum_sum[cd],Power[w]
9,6711,245
10,6969,246
11,6466,233
12,1536,65
13,6524,232
14,6814,247
15,6883,243
16,6825,250
17,6814,243
18,6820,238
19,5969,213
20,4885,174
21,3244,121
22,1536,65
