Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,339,447,308,623,394,548,807,339,1086,323,896,596
10,490,327,311,458,561,451,778,609,1229,631,452,667
11,414,392,327,527,387,574,758,483,853,442,722,582
12,128,128,128,128,128,128,128,128,128,128,128,128
13,129,328,211,753,486,403,934,742,1170,317,397,648
14,496,312,283,546,539,417,680,631,1166,481,646,614
15,418,376,333,560,386,481,732,628,1280,636,564,483
16,440,358,314,569,356,419,776,544,1206,522,723,592
17,287,435,277,563,740,340,825,631,1280,431,330,669
18,482,355,335,500,451,495,677,710,1093,437,558,721
19,135,178,128,1206,128,485,185,342,1164,371,916,727
20,130,426,288,1227,141,162,128,507,128,456,787,501
21,305,442,128,1280,193,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
