Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,404,415,434,429,466,458,597,589,663,545,589,611
10,405,424,418,496,547,490,542,635,705,488,620,619
11,417,462,460,453,549,502,584,638,698,507,607,616
12,109,118,121,113,130,122,113,128,127,106,125,117
13,356,418,446,412,545,522,552,622,690,497,597,590
14,341,387,419,390,494,485,567,666,707,491,630,626
15,431,431,394,478,508,417,591,664,660,502,660,673
16,411,437,454,449,515,490,569,660,676,509,633,607
17,420,451,454,457,530,490,572,638,686,513,619,612
18,415,467,502,465,560,555,565,643,711,508,584,603
19,434,389,372,544,479,406,470,489,500,422,485,502
20,395,380,334,504,506,403,288,422,502,230,335,375
21,151,212,299,151,206,253,127,149,156,119,143,135
22,109,118,121,113,130,122,113,128,127,106,125,117
