Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,20,20,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20,20,20
2,21,20,20,20,22,22,20,20,20,20,21,20
3,21,20,20,20,22,22,20,20,20,20,21,20
4,21,21,20,21,22,24,22,21,20,21,21,20
5,21,21,20,21,22,24,22,21,20,21,21,20
6,21,23,20,21,23,26,22,22,22,21,21,22
7,21,23,20,21,23,26,22,22,22,21,21,22
8,21,24,21,23,25,26,22,22,23,22,22,23
9,21,24,21,23,25,26,22,22,23,22,22,23
10,22,26,21,26,28,28,23,23,23,21,22,25
11,22,26,21,26,28,28,23,23,23,21,22,25
12,23,26,21,27,30,29,24,25,23,21,23,27
13,23,26,21,27,30,29,24,25,23,21,23,27
14,25,28,21,30,30,29,24,27,24,22,23,30
15,25,28,21,30,30,29,24,27,24,22,23,30
16,25,30,21,32,32,31,25,29,26,22,23,32
17,25,30,21,32,32,31,25,29,26,22,23,32
18,26,31,20,36,32,30,26,30,28,23,23,33
19,26,31,20,36,32,30,26,30,28,23,23,33
20,28,31,22,36,33,31,28,30,29,24,23,35
21,28,31,22,36,33,31,28,30,29,24,23,35
22,29,31,21,40,36,32,28,32,29,24,23,38
23,29,31,21,40,36,32,28,32,29,24,23,38
24,30,33,22,44,39,33,30,33,29,25,24,42
25,30,33,22,44,39,33,30,33,29,25,24,42
26,30,36,21,46,40,33,31,35,30,25,23,46
27,30,36,21,46,40,33,31,35,30,25,23,46
28,30,39,22,46,44,35,31,35,30,25,23,49
29,30,39,22,46,44,35,31,35,30,25,23,49
30,31,39,21,50,47,39,33,38,32,26,24,54
31,31,39,21,50,47,39,33,38,32,26,24,54
32,29,37,22,56,50,38,36,42,31,27,25,58
33,29,37,22,56,50,38,36,42,31,27,25,58
34,30,36,22,63,55,39,37,45,35,28,25,62
35,30,36,22,63,55,39,37,45,35,28,25,62
36,28,34,20,63,50,38,40,45,34,30,25,69
37,28,34,20,63,50,38,40,45,34,30,25,69
38,27,35,20,71,51,37,41,49,38,31,27,77
39,27,35,20,71,51,37,41,49,38,31,27,77
40,26,34,19,67,52,38,42,54,39,31,27,79
41,26,34,19,67,52,38,42,54,39,31,27,79
42,27,33,20,64,56,38,42,54,43,32,28,79
43,27,33,20,64,56,38,42,54,43,32,28,79
44,26,33,21,68,53,38,47,61,44,33,28,79
45,26,33,21,68,53,38,47,61,44,33,28,79
46,27,34,20,61,55,37,47,67,44,32,29,83
47,27,34,20,61,55,37,47,67,44,32,29,83
48,28,33,20,61,61,38,49,67,49,33,30,79
49,28,33,20,61,61,38,49,67,49,33,30,79
50,28,33,19,64,55,37,48,75,49,32,28,85
51,28,33,19,64,55,37,48,75,49,32,28,85
52,29,33,20,64,57,40,51,75,49,32,28,82
53,29,33,20,64,57,40,51,75,49,32,28,82
54,28,34,21,62,59,37,52,71,51,34,28,85
55,28,34,21,62,59,37,52,71,51,34,28,85
56,28,34,20,64,61,37,50,69,50,33,28,82
57,28,34,20,64,61,37,50,69,50,33,28,82
58,26,35,19,62,55,39,48,70,54,32,29,86
59,26,35,19,62,55,39,48,70,54,32,29,86
60,29,34,20,64,60,38,51,71,49,34,30,86
61,29,34,20,64,60,38,51,71,49,34,30,86
62,28,33,21,62,61,37,54,75,49,31,29,81
63,28,33,21,62,61,37,54,75,49,31,29,81
64,27,33,20,60,57,37,48,72,50,34,28,87
65,27,33,20,60,57,37,48,72,50,34,28,87
66,27,34,20,62,59,38,48,68,55,34,29,84
67,27,34,20,62,59,38,48,68,55,34,29,84
68,28,35,19,60,63,37,52,72,49,33,29,85
69,28,35,19,60,63,37,52,72,49,33,29,85
70,28,35,21,63,56,39,51,74,53,30,29,76
71,28,35,21,63,56,39,51,74,53,30,29,76
72,28,34,20,64,58,40,51,72,51,34,28,83
73,28,34,20,64,58,40,51,72,51,34,28,83
74,27,35,19,60,56,37,52,69,53,32,30,85
75,27,35,19,60,56,37,52,69,53,32,30,85
76,25,34,19,57,55,40,54,71,53,33,29,85
77,25,34,19,57,55,40,54,71,53,33,29,85
78,26,33,18,61,59,38,55,74,57,31,30,82
79,26,33,18,61,59,38,55,74,57,31,30,82
80,25,34,19,62,59,38,55,75,53,31,28,77
81,25,34,19,62,59,38,55,75,53,31,28,77
82,24,35,19,59,57,40,51,69,53,34,30,85
83,24,35,19,59,57,40,51,69,53,34,30,85
