Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2900.8500000000004,108.33000000000001
3,2900.8500000000004,108.33000000000001
4,3039.3451999999997,111.7356
5,3039.3451999999997,111.7356
6,3176.349666,116.84400000000002
7,3176.349666,116.84400000000002
8,3311.12323622,120.24960000000002
9,3311.12323622,120.24960000000002
10,3468.6891456206,125.78370000000002
11,3468.6891456206,125.78370000000002
12,3619.720833349878,130.89210000000003
13,3619.720833349878,130.89210000000003
14,3830.496357738088,136.4262
15,3830.496357738088,136.4262
16,4002.936255929095,142.8117
17,4002.936255929095,142.8117
18,4177.213903531724,147.92010000000002
19,4180.98151423771,147.92010000000002
20,4305.7903380253365,152.6028
21,4302.022727319351,152.6028
22,4498.748163833409,159.8397
23,4493.052246085401,159.8397
24,4615.628866607537,162.81960000000004
25,4621.235780977485,162.81960000000004
26,4710.935981763791,165.79950000000005
27,4702.436606830808,165.79950000000005
28,4851.663160093,170.05650000000003
29,4857.270074462948,170.05650000000003
30,4951.981563895085,173.03640000000004
31,4971.605764189903,173.03640000000004
32,5155.940185805003,180.27330000000006
33,5064.12413248911,180.27330000000006
34,5255.430758952009,183.25320000000002
35,5278.26658791662,183.25320000000002
36,5528.558437856541,192.61860000000001
37,5441.895283866909,192.61860000000001
38,5656.380605103316,196.87560000000002
39,5610.794009031823,196.87560000000002
40,5780.918453337551,201.55830000000003
41,5697.668852951183,201.55830000000003
42,5869.07252670222,204.11250000000004
43,5747.541529882772,204.11250000000004
44,5997.596229293569,208.79520000000002
45,5868.250317305161,208.79520000000002
46,6081.731672083442,212.20080000000002
47,6034.688776489367,212.20080000000002
48,6108.957311820943,213.0522
49,6102.76929419061,213.0522
50,6364.372398484235,221.1405
51,6263.541338033527,221.1405
52,6350.865047409981,220.28910000000002
53,6301.265788605922,220.28910000000002
54,6455.058798726698,224.97180000000003
55,6357.448546072563,224.97180000000003
56,6395.607822372995,222.41760000000002
57,6380.98406746744,222.41760000000002
58,6359.728084132421,221.99190000000004
59,6371.3216409868,221.99190000000004
60,6477.926866946796,226.67460000000003
61,6337.594305360648,226.67460000000003
62,6329.599577479154,221.1405
63,6311.873092089152,221.1405
64,6560.003734079607,229.65449999999998
65,6347.789936358822,229.65449999999998
66,6524.142517301778,227.95170000000002
67,6360.599175919098,227.95170000000002
68,6326.992255475583,221.1405
69,6338.749488973217,221.1405
70,6347.037192467664,221.56619999999998
71,6333.244313019135,221.56619999999998
72,6417.330941747449,224.97180000000003
73,6338.104285744714,224.97180000000003
74,6516.439471591725,227.95170000000002
75,6331.242324875317,227.95170000000002
76,6369.489327349723,222.84330000000003
77,6316.297118139067,222.84330000000003
78,6405.807186956346,224.12040000000002
79,6304.102551678329,224.12040000000002
80,6521.241175494096,228.80310000000003
81,6304.102551678329,228.80310000000003
82,6362.493106093652,222.84330000000003
83,6293.688547681658,222.84330000000003
84,6309.677152729611,219.8634
85,6309.677152729611,219.8634
86,6404.629743403713,224.97180000000003
87,6320.585241511614,224.97180000000003
88,6313.601926479952,221.9919
89,6250.943020624805,221.9919
90,6236.231980487819,219.012
91,6223.81844657911,219.012
92,6427.069386763507,225.3975
93,6250.062363327552,225.3975
94,6343.800222337618,221.99190000000004
95,6247.9592659777845,221.99190000000004
96,6415.710878618847,224.97180000000003
97,6255.830791769828,224.97180000000003
98,6420.783112753438,225.39750000000004
99,6251.8163136158855,225.39750000000004
100,6425.917757151927,224.97180000000003
101,6272.191746982269,224.97180000000003
102,6361.7983023394145,222.41760000000002
103,6301.403097269426,222.41760000000002
104,6495.417901224859,228.37740000000002
105,6314.7985879011085,228.37740000000002
106,6346.124806675583,222.41760000000005
107,6293.6849487337395,222.41760000000005
108,6486.360095653464,227.526
109,6317.370408752325,227.526
110,6484.077325611821,227.1003
111,6335.9199871154215,227.1003
112,6455.020728539005,226.24890000000002
113,6362.2819041161065,226.24890000000002
114,6442.311618508053,224.54610000000002
115,6347.293661194177,224.54610000000002
116,6475.327286037976,227.10030000000003
117,6376.4102585890105,227.10030000000003
118,6549.8854843108,228.8031
119,6394.542881407259,228.8031
120,6552.415705927715,230.50590000000003
121,6425.6705505785885,230.50590000000003
122,6583.506531870322,230.5059
123,6471.428224260441,230.5059
124,6567.233768194442,229.65449999999998
125,6478.422611523239,229.65449999999998
126,6628.899733327894,231.35730000000004
127,6457.229618116962,231.35730000000004
128,6514.911023062189,227.95170000000002
129,6443.831451742323,227.95170000000002
130,6535.632658539933,229.65450000000004
131,6429.98960131557,229.65450000000004
132,6642.9573629574925,232.6344
133,6457.119628152006,232.6344
134,6524.3777152547445,228.37740000000002
135,6457.0123802724065,228.37740000000002
136,6618.433834504008,231.78300000000002
137,6492.281415159772,231.78300000000002
138,6595.641410451193,231.78300000000002
139,6499.68791248612,231.78300000000002
140,6567.281843180195,230.08020000000005
141,6529.610161684561,230.08020000000005
142,6509.0313131856365,228.37740000000002
143,6477.706955675389,228.37740000000002
144,6558.268320996453,229.22880000000004
145,6480.8198533586965,229.22880000000004
146,6467.92127987836,226.67460000000003
147,6488.706736703862,226.67460000000003
148,6442.651599529936,226.24890000000002
149,6486.162809124553,226.24890000000002
150,6545.575233677871,230.08020000000002
151,6473.3908678439075,230.08020000000002
152,6482.25816121843,227.10030000000003
153,6435.277774187902,227.10030000000003
154,6641.309914403192,234.33720000000002
155,6498.159378193775,234.33720000000002
156,6537.777625352999,230.08020000000002
157,6439.6157402255885,230.08020000000002
158,6500.711247841875,228.80310000000003
