Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,307,392,382,360,554,477,493,646,775,424,601,712
10,430,343,311,499,409,346,349,498,649,328,531,624
11,307,341,343,354,465,419,626,640,629,503,624,559
12,109,118,121,113,130,122,113,128,127,106,125,117
13,421,429,421,458,479,428,498,550,598,426,586,644
14,426,434,378,488,575,444,598,656,592,493,643,543
15,427,401,371,440,453,389,516,573,642,481,602,633
16,441,386,334,459,453,358,571,667,556,453,573,463
17,437,374,330,571,498,391,423,683,729,363,609,693
18,299,389,383,350,540,468,440,645,703,381,590,580
19,348,356,315,447,483,367,571,702,550,457,620,482
20,264,342,326,324,503,406,486,700,577,418,658,528
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
