Hour,lum_sum[cd],Power[w]
9,6309,229
10,5882,212
11,5731,206
12,1536,65
13,6546,235
14,6004,215
15,6517,229
16,5531,199
17,6248,226
18,5498,199
19,5148,184
20,4875,176
21,1536,65
22,1536,65
