Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,19,12,14,13,86,12,56,60,105,20,38,93
10,32,17,16,89,17,21,16,27,105,16,70,63
11,26,12,12,12,52,25,102,48,86,13,74,13
12,12,12,12,12,12,12,12,12,12,12,12,12
13,40,39,28,51,33,33,62,26,45,12,71,102
14,36,19,12,41,77,13,79,54,53,15,84,12
15,49,30,19,40,29,18,57,34,80,39,61,72
16,60,26,17,38,27,16,78,95,34,15,40,12
17,12,16,12,105,30,21,15,98,54,12,42,105
18,16,18,16,17,77,12,36,81,101,15,56,12
19,12,20,12,49,46,13,68,105,15,12,59,12
20,12,12,12,12,75,12,44,105,14,12,82,12
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
