Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,12,12,12,13,12,21,105,105,12,53,63
10,31,12,12,16,99,12,12,12,12,63,12,12
11,12,12,12,12,12,36,94,58,60,12,12,25
12,12,12,12,12,12,12,12,12,12,12,12,12
13,12,12,12,12,12,12,22,12,12,67,14,12
14,12,12,12,12,24,12,105,61,77,13,75,15
15,12,12,12,12,12,59,12,34,12,20,105,12
16,12,18,12,21,105,12,12,12,12,12,12,12
17,12,52,20,12,12,12,12,44,102,12,12,14
18,57,39,24,36,23,20,105,12,14,12,12,12
19,12,33,14,87,12,36,93,12,12,12,12,12
20,12,54,21,12,14,43,12,12,12,12,12,12
21,12,36,51,12,15,17,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
