Hour,lum_sum[cd],Power[w]
9,4889,178
10,3542,132
11,5444,197
12,1536,65
13,4040,146
14,5481,196
15,4725,172
16,2635,101
17,2360,93
18,4916,178
19,3872,143
20,2332,91
21,1536,65
22,1536,65
