Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,12,12,12,12,12,12,48,105,12,12,18
10,32,31,12,17,12,12,72,35,105,12,48,100
11,22,15,12,15,73,12,104,58,87,17,49,20
12,12,12,12,12,12,12,12,12,12,12,12,12
13,12,33,12,105,12,12,12,31,12,13,105,12
14,12,35,12,105,27,22,12,102,12,12,51,12
15,12,12,42,12,12,42,12,34,12,21,102,12
16,12,12,12,12,82,12,101,53,105,12,56,60
17,12,12,12,68,72,12,19,103,30,12,54,12
18,12,27,12,50,57,21,12,103,12,12,12,12
19,28,15,12,20,105,12,12,12,12,12,12,12
20,66,15,12,21,12,12,12,12,12,12,12,12
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
