Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,233,233,233,233,233,233,233,233,233,233,233,233
1,233,233,233,233,233,233,233,233,233,233,233,233
2,237,258,233,237,239,226,221,239,239,230,246,242
3,237,258,233,237,239,226,233,239,239,233,246,242
4,263,263,235,251,244,223,233,247,244,226,242,259
5,263,263,235,251,244,223,233,247,244,233,242,259
6,261,287,235,254,259,217,212,244,259,226,249,256
7,261,287,235,254,259,217,233,244,259,233,249,256
8,271,322,232,256,272,227,230,247,267,233,254,274
9,271,322,232,256,272,227,233,247,267,233,254,274
10,296,325,230,259,272,227,212,249,293,214,269,299
11,296,325,230,259,272,227,233,249,293,233,269,299
12,313,335,242,275,280,230,221,252,311,219,283,332
13,313,335,242,275,280,230,233,252,311,233,283,332
14,351,351,249,288,289,239,216,252,311,209,277,355
15,351,351,249,288,289,239,233,252,311,233,277,355
16,393,355,251,300,306,234,209,247,330,228,280,369
17,393,355,251,300,306,234,233,247,330,233,280,369
18,417,348,251,306,315,232,228,261,333,228,296,403
19,417,348,251,306,315,232,233,261,333,233,296,403
20,459,358,246,300,328,241,223,267,336,209,293,423
21,459,358,246,300,328,241,233,267,336,233,293,423
22,445,362,251,300,331,251,209,272,374,216,291,465
23,459,358,246,300,328,251,233,272,374,233,291,465
24,463,347,249,294,331,261,230,288,385,226,302,465
25,459,358,246,300,328,261,233,288,385,233,302,465
26,468,362,239,297,311,269,235,285,431,219,302,507
27,459,358,246,300,328,269,233,285,431,233,302,507
28,449,362,246,288,315,263,223,291,483,214,314,537
29,459,358,246,300,328,263,233,291,483,233,314,537
30,463,358,249,303,318,261,219,303,492,226,308,597
31,459,358,246,300,328,261,233,303,492,233,308,597
32,449,355,254,297,311,258,235,309,502,219,326,644
33,459,358,246,300,328,258,233,309,502,233,326,644
34,459,362,251,303,338,271,216,312,507,216,326,709
35,459,358,246,300,328,271,233,312,507,233,326,709
36,449,358,229,288,311,282,212,318,568,230,336,730
37,459,358,246,300,328,282,233,318,568,233,336,730
38,468,365,229,303,308,282,235,315,631,212,357,781
39,459,358,246,300,328,282,233,315,631,233,357,781
40,463,340,239,294,331,276,212,312,643,230,371,805
41,463,340,239,294,331,276,212,312,643,230,371,805
42,445,340,232,291,338,279,214,312,714,230,386,813
43,463,340,239,294,331,279,212,312,714,230,386,813
44,440,337,232,291,318,273,207,331,800,216,378,910
45,463,340,239,294,331,273,212,331,800,230,378,910
46,472,327,237,282,314,262,207,337,800,216,389,919
47,472,327,237,282,314,262,207,337,800,216,389,919
48,472,333,234,282,311,247,195,341,816,208,393,919
49,472,333,234,282,311,247,195,341,816,208,393,919
50,482,333,220,276,317,247,175,358,914,210,389,919
51,472,333,234,282,311,247,195,358,914,208,389,919
52,472,333,218,279,317,254,197,379,960,208,397,956
53,472,333,234,282,311,247,195,379,960,208,397,956
54,453,316,225,291,321,227,187,406,1046,208,421,995
55,472,333,234,282,311,247,195,406,1046,208,397,956
56,458,340,227,274,314,232,193,434,1088,195,405,1004
57,472,333,234,282,311,247,195,434,1088,208,405,956
58,487,340,218,276,299,224,193,439,1186,206,413,966
59,472,333,234,282,311,247,195,439,1186,208,405,956
60,463,333,232,279,317,249,197,469,1280,187,417,947
61,472,333,234,282,311,247,195,439,1280,208,405,956
62,463,333,211,268,308,229,189,443,1280,208,433,1004
63,472,333,234,282,311,247,195,443,1280,208,405,956
64,449,333,230,276,308,247,195,434,1280,197,417,1014
65,472,333,234,282,311,247,195,434,1280,208,417,956
66,477,330,234,279,321,222,197,465,1280,189,409,1014
67,472,333,234,282,311,247,195,465,1280,208,417,956
68,487,320,220,279,296,247,183,483,1267,203,409,1071
69,472,333,234,282,311,247,195,483,1267,208,417,956
70,482,340,225,285,317,224,195,517,1280,189,421,1033
71,472,333,234,282,311,247,195,517,1280,208,417,956
72,458,323,225,262,314,227,197,543,1280,199,446,1052
73,472,333,234,282,311,247,195,543,1280,208,417,956
74,472,343,230,274,311,237,177,543,1267,189,446,1004
75,472,333,234,282,311,247,195,543,1267,208,417,956
76,449,340,220,274,305,227,187,570,1280,201,434,1023
77,472,333,234,282,311,247,195,570,1280,208,417,956
78,482,320,232,285,308,234,183,599,1280,197,417,1061
79,472,333,234,282,311,247,195,570,1280,208,417,956
80,463,340,237,268,302,234,179,593,1267,203,417,985
81,463,340,237,268,302,247,179,593,1267,203,417,956
82,444,323,213,257,284,237,168,634,1279,187,413,1004
83,444,323,213,257,284,247,168,593,1279,187,417,956
84,435,323,204,252,281,249,168,593,1280,182,438,1023
85,444,323,213,257,284,247,168,593,1280,187,417,956
86,435,329,200,265,264,222,160,617,1280,182,426,956
87,435,329,200,265,264,247,160,593,1280,182,417,956
88,435,316,192,273,261,244,158,617,1280,176,438,966
89,435,329,200,265,264,247,160,593,1280,182,417,956
90,422,316,194,260,272,229,152,599,1280,169,442,1052
91,435,329,200,265,264,247,160,599,1280,182,417,956
92,422,323,182,254,259,242,155,599,1280,174,442,1061
93,435,329,200,265,264,247,160,599,1280,182,417,956
94,422,326,188,273,272,224,154,617,1280,167,438,1042
95,435,329,200,265,264,247,160,617,1280,182,417,956
96,440,316,184,265,259,222,162,654,1280,174,430,1071
97,435,329,200,265,264,247,160,617,1280,182,417,956
98,418,339,182,262,245,234,152,604,1280,180,430,947
99,418,339,182,262,245,234,152,604,1280,180,430,947
100,414,336,186,257,238,234,141,604,1280,171,421,1013
101,418,339,182,262,245,234,152,604,1280,180,430,947
102,414,339,187,249,233,222,149,604,1280,173,443,1041
103,418,339,182,262,245,234,152,604,1280,180,430,947
104,410,343,186,254,248,220,138,635,1280,180,447,1003
105,418,339,182,262,245,234,152,604,1280,180,430,947
106,414,346,169,260,238,234,137,610,1280,165,460,1041
107,418,339,182,262,245,234,152,610,1280,180,430,947
108,418,339,186,268,245,225,141,653,1280,167,455,985
109,418,339,182,262,245,234,152,610,1280,180,430,947
110,422,343,182,260,250,211,137,598,1267,173,455,994
111,418,339,182,262,245,234,152,598,1267,180,455,994
112,422,332,171,260,240,211,149,592,1280,178,451,1084
113,418,339,182,262,245,234,152,592,1280,180,455,994
114,410,336,184,270,248,237,146,592,1280,164,469,1084
115,418,339,182,262,245,234,152,592,1280,180,455,994
116,422,332,175,257,233,211,150,616,1280,180,478,1014
117,418,339,182,262,245,234,152,592,1280,180,455,994
118,418,343,169,254,253,232,152,610,1280,176,469,1044
119,418,339,182,262,245,234,152,592,1280,180,455,994
120,418,346,187,257,238,237,144,634,1280,169,465,1054
121,418,339,182,262,245,234,152,592,1280,180,455,994
122,414,346,177,254,253,222,144,610,1280,173,478,1054
123,418,339,182,262,245,234,152,592,1280,180,455,994
124,414,339,171,260,250,237,143,586,1280,174,460,1044
125,418,339,182,262,245,234,152,586,1280,180,455,994
126,410,336,187,268,236,225,152,586,1280,165,469,1084
127,418,339,182,262,245,234,152,586,1280,180,455,994
128,426,343,173,268,243,227,147,580,1280,162,483,1054
129,418,339,182,262,245,234,152,580,1280,180,455,994
130,410,336,177,262,253,218,153,604,1280,176,451,984
131,418,339,177,262,245,234,153,580,1280,176,455,994
132,410,336,169,270,240,213,138,609,1280,171,446,1004
133,418,339,169,262,245,234,138,580,1280,171,455,994
134,426,339,168,265,243,227,131,586,1280,159,474,984
135,426,339,168,265,243,234,131,586,1280,159,455,994
136,422,346,158,254,240,234,132,604,1280,157,451,1093
137,426,339,168,265,243,234,131,586,1280,159,455,994
138,422,332,169,252,248,213,128,586,1280,144,483,1024
139,426,339,168,265,243,234,131,586,1280,159,455,994
140,435,343,163,273,238,213,131,598,1280,148,474,1024
141,426,339,168,265,243,234,131,598,1280,159,455,994
142,435,332,173,257,231,237,128,604,1280,151,451,1054
143,426,339,168,265,243,234,131,604,1280,159,455,994
144,435,332,158,273,236,222,129,646,1280,151,455,1024
145,426,339,168,265,243,234,131,604,1280,159,455,994
146,435,343,158,270,248,213,128,604,1280,144,451,984
147,435,343,158,270,248,213,128,604,1280,144,451,984
148,426,343,159,267,250,198,128,616,1280,130,451,974
149,426,343,159,267,250,198,128,604,1280,130,451,984
150,418,349,148,273,248,188,128,604,1280,131,455,1102
151,426,343,159,267,250,198,128,604,1280,130,451,984
152,431,336,156,262,253,196,128,616,1280,128,455,1083
153,426,343,159,267,250,198,128,604,1280,130,451,984
154,418,349,153,273,253,196,128,604,1280,128,460,994
155,426,343,159,267,250,198,128,604,1280,130,451,984
156,418,336,150,259,243,178,128,646,1280,128,469,1014
157,426,343,159,267,250,198,128,604,1280,130,451,984
158,418,343,162,273,240,190,128,610,1280,128,483,1073
159,426,343,159,267,250,198,128,610,1280,130,451,984
160,426,336,159,276,243,194,129,641,1280,128,478,1092
161,426,343,159,267,250,198,128,610,1280,130,451,984
162,431,346,150,273,250,182,128,653,1280,128,478,1043
163,426,343,159,267,250,198,128,610,1280,130,451,984
164,435,343,158,265,248,198,128,647,1267,128,473,994
165,426,343,159,267,250,198,128,610,1267,130,451,984
166,431,336,161,262,243,180,128,634,1280,129,464,1023
167,426,343,159,267,250,198,128,610,1280,130,451,984
168,426,343,156,254,245,192,128,634,1280,128,473,1073
169,426,343,159,267,250,198,128,610,1280,130,451,984
170,426,339,148,262,258,180,128,598,1280,128,464,1102
171,426,343,159,267,250,198,128,598,1280,130,451,984
172,422,349,164,276,248,196,128,628,1280,128,483,994
173,426,343,159,267,250,198,128,598,1280,130,451,984
174,422,349,154,257,250,180,129,586,1280,129,442,1033
175,426,343,154,267,250,198,129,586,1280,129,442,1033
176,435,339,159,262,245,190,130,574,1280,129,433,1137
177,426,343,154,267,250,198,129,574,1280,129,442,1033
178,431,339,158,259,258,182,129,580,1280,128,437,1147
179,426,343,154,267,250,198,129,574,1280,129,442,1033
180,418,343,156,276,243,184,129,563,1280,128,442,1106
181,426,343,154,267,250,198,129,563,1280,129,442,1033
182,426,336,158,276,253,188,129,585,1280,128,464,1137
183,426,343,154,267,250,198,129,563,1280,129,442,1033
184,435,339,144,276,250,196,128,591,1280,128,442,1116
185,426,343,154,267,250,198,129,563,1280,129,442,1033
186,426,339,158,265,248,196,128,568,1280,128,437,1064
187,426,343,154,267,250,198,129,568,1280,129,442,1033
188,426,339,151,257,258,200,128,568,1280,128,442,1023
189,426,343,151,267,250,200,128,568,1280,128,442,1023
190,435,346,141,254,240,186,128,568,1280,128,473,1013
191,426,343,141,267,250,200,128,568,1280,128,473,1013
192,426,343,131,270,255,200,129,563,1280,128,487,1013
193,426,343,141,267,250,200,128,563,1280,128,487,1013
194,431,343,134,257,255,192,128,568,1280,128,487,1013
195,426,343,134,267,250,200,128,563,1280,128,487,1013
196,418,353,130,267,248,190,129,585,1280,128,511,1023
197,426,343,134,267,250,200,128,563,1280,128,487,1013
198,448,343,135,267,255,188,128,596,1280,128,507,1094
199,426,343,134,267,250,200,128,563,1280,128,487,1013
200,448,356,136,273,250,202,128,579,1280,128,516,1084
201,426,343,134,267,250,200,128,563,1280,128,487,1013
202,443,356,136,265,245,188,128,579,1280,128,497,1094
203,426,343,134,267,250,200,128,563,1280,128,487,1013
204,418,332,130,267,248,192,128,574,1280,129,477,1003
205,426,343,130,267,250,192,128,563,1280,129,477,1003
206,435,360,134,273,250,179,129,557,1280,128,506,1123
207,426,343,130,267,250,192,128,557,1280,129,477,1003
208,422,339,128,273,250,186,128,568,1267,128,477,1113
209,426,343,130,267,250,192,128,568,1267,129,477,1003
210,431,346,132,270,253,194,128,557,1280,128,501,993
211,426,343,130,267,253,192,128,557,1280,129,477,1003
212,443,339,128,262,255,182,128,579,1280,128,482,1123
213,426,343,130,267,253,192,128,557,1280,129,477,1003
214,443,339,128,270,258,179,128,573,1280,128,496,1033
215,426,343,130,267,253,192,128,557,1280,129,477,1003
216,431,339,131,265,255,190,128,551,1267,130,496,1083
217,426,343,130,267,253,192,128,551,1267,129,477,1003
218,443,332,128,267,250,181,128,562,1280,130,506,1053
219,426,343,130,267,250,192,128,551,1280,129,477,1003
220,413,332,128,267,245,194,128,540,1280,128,482,1023
221,426,343,128,267,250,194,128,540,1280,128,482,1023
222,418,336,128,267,253,186,128,562,1280,128,501,1043
223,426,343,128,267,250,194,128,540,1280,128,482,1023
224,418,360,128,270,253,186,128,567,1280,128,501,1023
225,426,360,128,270,253,194,128,540,1280,128,482,1023
226,422,352,130,262,250,175,128,540,1280,128,501,1084
227,426,360,128,270,253,194,128,540,1280,128,482,1023
228,435,360,129,262,258,184,128,540,1280,128,506,1064
229,426,360,128,270,253,194,128,540,1280,128,482,1023
230,418,360,128,270,253,186,128,529,1280,128,492,1074
231,426,360,128,270,253,194,128,529,1280,128,482,1023
232,431,356,131,276,240,186,128,566,1280,128,501,1053
233,426,360,128,270,253,194,128,529,1280,128,482,1023
234,431,356,130,267,253,182,128,556,1280,128,506,1135
235,426,360,128,270,253,194,128,529,1280,128,482,1023
236,426,367,128,262,250,175,128,566,1280,128,511,1145
237,426,360,128,270,253,194,128,529,1280,128,482,1023
238,418,363,128,273,240,184,128,535,1280,128,472,1094
239,426,360,128,270,253,194,128,535,1280,128,482,1023
240,435,356,128,257,255,178,128,567,1280,128,472,1145
241,426,360,128,270,253,194,128,535,1280,128,482,1023
242,422,352,128,270,240,196,128,551,1280,128,497,1084
243,426,360,128,270,253,194,128,535,1280,128,482,1023
244,431,356,128,276,250,182,128,524,1280,128,511,1084
245,426,360,128,270,253,194,128,524,1280,128,482,1023
246,418,352,128,276,255,178,128,534,1267,128,501,1115
247,426,360,128,270,253,194,128,534,1267,128,482,1023
248,431,367,128,273,248,192,128,534,1254,128,511,1135
249,426,360,128,270,253,194,128,534,1254,128,482,1023
250,426,363,128,262,248,194,128,545,1279,128,482,1053
251,426,360,128,270,253,194,128,534,1279,128,482,1023
252,435,367,131,276,253,190,128,540,1280,128,511,1105
253,426,360,128,270,253,194,128,540,1280,128,482,1023
254,418,352,128,257,250,180,128,556,1280,128,516,1135
255,426,360,128,270,253,194,128,540,1280,128,482,1023
256,431,367,128,257,245,178,128,534,1280,128,501,1084
257,426,360,128,270,253,194,128,534,1280,128,482,1023
258,431,363,128,267,245,182,128,561,1280,128,506,1084
259,426,360,128,270,253,194,128,534,1280,128,482,1023
260,422,360,130,262,243,182,128,524,1280,128,492,1094
261,426,360,128,270,253,194,128,524,1280,128,482,1023
262,435,352,128,257,248,184,128,529,1280,128,506,1064
263,426,360,128,270,253,194,128,529,1280,128,482,1023
264,426,367,128,265,240,186,128,539,1280,128,506,1023
265,426,360,128,270,253,194,128,539,1280,128,482,1023
266,435,352,129,257,253,196,128,566,1280,128,497,1043
267,426,360,128,270,253,194,128,539,1280,128,482,1023
268,418,360,128,276,248,190,128,529,1280,128,516,1012
269,426,360,128,270,253,190,128,529,1280,128,516,1012
270,422,363,128,262,248,184,128,566,1280,128,552,1053
271,426,360,128,270,253,190,128,529,1280,128,516,1012
272,422,363,128,278,255,192,128,560,1280,128,537,1093
273,426,360,128,270,253,190,128,529,1280,128,516,1012
274,426,356,128,265,243,192,128,539,1280,128,547,1063
275,426,360,128,270,253,190,128,529,1280,128,516,1012
276,426,363,130,259,245,173,128,518,1280,128,526,1114
277,426,360,128,270,253,190,128,518,1280,128,516,1012
278,431,367,128,257,260,179,128,549,1280,128,506,1114
279,426,360,128,270,253,190,128,518,1280,128,516,1012
280,431,352,128,262,253,179,128,518,1280,128,547,1043
281,426,360,128,270,253,190,128,518,1280,128,516,1012
282,431,356,128,262,248,184,128,554,1280,128,506,1114
283,426,360,128,270,253,190,128,518,1280,128,516,1012
284,431,356,128,257,245,190,128,528,1280,128,547,1002
285,426,360,128,270,253,190,128,528,1280,128,516,1012
286,431,352,128,257,243,171,128,539,1280,128,531,1063
287,426,360,128,270,253,190,128,539,1280,128,516,1012
288,426,367,128,278,240,182,128,544,1280,128,542,1043
289,426,360,128,270,253,190,128,544,1280,128,516,1012
290,426,356,128,278,245,171,129,544,1280,128,521,1134
291,426,360,128,270,253,190,128,544,1280,128,516,1012
292,435,352,128,257,260,177,128,561,1267,128,542,1134
293,426,360,128,270,253,190,128,544,1267,128,516,1012
294,418,356,128,273,248,192,128,583,1280,128,547,1023
295,426,360,128,270,253,190,128,544,1267,128,516,1012
296,431,356,128,270,243,192,128,550,1280,128,537,1073
297,426,360,128,270,253,190,128,544,1280,128,516,1012
298,431,356,128,270,243,184,128,577,1280,128,506,1134
299,426,360,128,270,253,190,128,544,1280,128,516,1012
300,422,367,128,259,248,175,128,544,1280,128,537,1114
301,426,360,128,270,253,190,128,544,1280,128,516,1012
302,431,356,129,259,245,175,128,550,1280,128,516,1043
303,426,360,128,270,253,190,128,550,1280,128,516,1012
304,418,363,128,265,243,192,128,583,1280,128,516,1043
305,426,360,128,270,253,190,128,550,1280,128,516,1012
306,422,356,128,273,245,171,128,550,1280,128,552,1104
307,426,360,128,270,253,190,128,550,1280,128,516,1012
308,431,367,128,278,255,192,128,550,1280,128,511,1043
309,426,360,128,270,253,190,128,550,1280,128,516,1012
310,431,367,131,259,255,181,129,577,1280,128,506,1134
311,426,360,128,270,253,190,128,550,1280,128,516,1012
312,418,360,128,267,248,177,128,566,1280,128,516,1124
313,426,360,128,270,253,190,128,550,1280,128,516,1012
314,422,363,128,276,255,175,128,572,1280,128,516,1083
315,426,360,128,270,253,190,128,550,1280,128,516,1012
316,431,360,128,262,258,173,128,583,1280,128,506,1043
317,426,360,128,270,253,190,128,550,1280,128,516,1012
318,418,367,128,270,253,175,128,583,1280,128,547,1053
319,426,360,128,270,253,190,128,550,1280,128,516,1012
320,435,352,131,257,245,173,129,588,1280,128,521,1104
321,426,360,128,270,253,190,128,550,1280,128,516,1012
322,418,352,128,257,240,175,128,539,1267,128,506,1124
323,426,360,128,270,253,190,128,539,1267,128,516,1012
324,418,363,131,278,240,190,128,560,1280,128,506,1033
325,426,360,128,270,253,190,128,539,1267,128,516,1012
326,418,360,128,276,260,186,128,560,1280,128,511,1114
327,426,360,128,270,253,190,128,539,1280,128,516,1012
328,431,356,130,267,258,179,128,533,1280,128,537,1043
329,426,360,128,270,253,190,128,533,1280,128,516,1012
330,422,363,128,267,250,175,128,566,1280,128,526,1134
331,426,360,128,270,253,190,128,533,1280,128,516,1012
332,435,352,131,257,245,190,128,544,1280,128,547,1073
333,426,360,128,270,253,190,128,533,1280,128,516,1012
334,422,356,128,276,240,184,128,549,1280,128,537,1114
335,426,360,128,270,253,190,128,533,1280,128,516,1012
336,422,356,131,276,243,179,128,523,1280,128,542,1134
337,426,360,128,270,253,190,128,523,1280,128,516,1012
338,426,363,128,262,240,177,128,554,1280,128,547,1002
339,426,360,128,270,253,190,128,523,1280,128,516,1012
340,435,367,128,265,255,186,128,554,1280,128,552,1012
341,426,360,128,270,253,190,128,523,1280,128,516,1012
342,418,356,128,273,250,186,128,512,1280,129,526,1043
343,426,360,128,270,253,190,128,512,1280,128,516,1012
344,426,363,128,265,253,181,128,543,1280,128,516,1083
345,426,360,128,270,253,190,128,512,1280,128,516,1012
346,431,352,131,265,243,182,128,517,1280,128,547,1053
347,426,360,128,270,253,190,128,517,1280,128,516,1012
348,426,352,128,278,245,188,128,523,1280,128,552,1043
349,426,360,128,270,253,190,128,523,1280,128,516,1012
350,426,356,130,267,258,175,128,533,1280,128,511,1114
351,426,360,128,270,253,190,128,523,1280,128,516,1012
352,431,363,128,273,250,179,128,554,1280,128,552,1053
353,426,360,128,270,253,190,128,523,1280,128,516,1012
354,431,367,128,267,240,179,129,533,1280,128,516,1073
