Hour,lum_sum[cd],Power[w]
9,6516,230
10,6739,241
11,6721,241
12,1536,65
13,6815,246
14,6896,251
15,6856,252
16,6773,241
17,6307,230
18,6604,236
19,5559,199
20,4292,153
21,2376,93
22,1536,65
