Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,415,422,422,450,507,464,580,642,675,514,600,568
10,418,429,430,457,513,465,541,677,709,499,662,646
11,356,441,472,400,565,548,542,618,715,488,608,641
12,109,118,121,113,130,122,113,128,127,106,125,117
13,436,450,452,488,540,499,540,637,712,488,615,620
14,438,427,421,458,507,461,545,699,729,510,681,672
15,407,440,444,444,496,460,589,633,671,546,643,624
16,423,436,433,468,525,479,545,613,702,488,598,628
17,329,387,409,387,494,468,505,643,702,487,646,637
18,429,404,413,538,488,458,487,589,674,460,601,621
19,314,300,332,273,323,355,312,493,652,331,542,620
20,173,214,301,188,265,347,290,416,501,312,409,437
21,128,133,136,135,153,135,250,206,165,299,233,161
22,109,118,121,113,130,122,113,128,127,106,125,117
