Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,233,233,233,233,233,233,233,233,233,233,233,233
1,233,233,233,233,233,233,233,233,233,233,233,233
2,246,235,235,239,239,244,260,235,258,228,233,242
3,246,235,235,239,239,244,260,235,258,228,233,242
4,266,240,232,242,247,261,281,261,281,223,233,259
5,266,240,232,242,247,261,281,261,281,223,233,259
6,274,264,244,244,249,290,295,282,281,239,235,267
7,274,264,244,244,249,290,295,282,281,239,235,267
8,291,269,251,259,247,319,295,304,281,251,242,285
9,291,269,251,259,247,319,295,304,281,251,242,285
10,305,272,254,262,252,316,298,319,279,256,259,291
11,305,272,254,262,252,316,298,319,279,256,259,291
12,305,269,262,267,262,332,334,342,298,271,274,285
13,305,269,262,267,262,332,334,342,298,271,274,285
14,333,269,259,272,267,335,331,352,322,288,294,282
15,333,269,259,272,267,335,331,352,322,288,294,282
16,339,293,262,272,262,348,361,366,361,302,291,291
17,339,293,262,272,262,348,361,366,361,302,291,291
18,377,322,254,267,280,359,393,392,393,320,299,288
19,377,322,254,267,280,359,393,392,393,320,299,288
20,400,332,249,261,277,363,409,439,429,336,302,282
21,400,332,249,261,277,363,409,439,429,336,302,282
22,396,335,244,261,288,399,425,470,446,333,318,299
23,396,335,249,261,288,399,425,470,446,333,318,299
24,423,359,234,261,285,423,438,498,468,326,330,293
25,423,359,249,261,285,423,438,498,468,326,330,293
26,411,363,239,267,291,427,478,518,510,329,334,293
27,423,359,249,267,291,427,478,518,510,329,334,293
28,432,352,249,264,285,470,482,570,561,346,330,299
29,423,359,249,264,285,470,482,570,561,346,330,299
30,406,341,236,275,280,512,478,570,623,360,350,314
31,423,359,249,275,280,512,478,570,623,360,350,314
32,406,366,249,272,291,533,478,615,654,356,350,323
33,423,359,249,272,291,533,478,615,654,356,350,323
34,423,359,239,266,299,522,525,665,713,370,347,314
35,423,359,249,266,299,533,525,665,713,370,347,314
36,419,363,246,280,293,517,541,724,778,389,347,310
37,423,359,249,280,293,533,541,724,778,389,347,314
38,411,348,254,285,288,527,568,732,848,401,357,301
39,411,359,249,285,288,533,568,732,848,401,357,314
40,398,345,231,291,282,538,597,798,932,405,379,307
41,398,359,249,291,282,533,597,798,932,405,379,314
42,378,366,254,294,279,522,615,798,1016,421,382,292
43,398,359,249,294,279,533,615,798,1016,421,379,314
44,390,341,241,297,279,543,627,885,1077,434,379,314
45,398,359,249,297,279,533,627,798,1077,434,379,314
46,398,366,251,312,279,533,683,893,1121,455,405,304
47,398,359,249,297,279,533,683,798,1121,455,379,314
48,398,345,241,294,279,543,731,893,1199,446,379,317
49,398,359,249,297,279,533,731,798,1121,455,379,314
50,402,366,236,306,296,511,782,869,1244,469,375,314
51,398,359,249,297,279,533,782,798,1121,455,379,314
52,394,352,239,306,279,522,790,893,1109,437,371,307
53,398,359,249,297,279,533,790,798,1109,455,379,314
54,386,355,249,288,296,543,814,798,1231,455,397,317
55,398,359,249,297,279,533,814,798,1109,455,379,314
56,390,366,236,300,287,517,912,806,1154,437,375,314
57,398,359,249,297,279,533,912,798,1154,455,379,314
58,390,363,244,291,290,506,1003,861,1154,455,375,295
59,398,359,249,297,290,533,1003,798,1154,455,379,314
60,378,366,241,291,296,517,1003,837,1142,432,386,314
61,378,366,241,291,296,533,1003,798,1142,455,379,314
62,382,355,232,276,290,549,1013,790,1199,428,405,323
63,382,366,241,291,290,533,1013,798,1142,455,379,314
64,382,377,227,288,296,511,1043,782,1142,423,382,292
65,382,377,227,291,296,511,1013,782,1142,455,382,292
66,371,388,220,279,299,496,1125,782,1256,442,398,280
67,382,377,227,291,299,511,1013,782,1142,455,382,292
68,371,366,220,282,305,496,1135,821,1165,423,378,286
69,382,377,227,291,305,511,1013,782,1165,455,382,292
70,378,381,224,285,308,506,1084,844,1177,423,390,300
71,382,377,227,291,308,511,1013,782,1165,455,382,292
72,374,385,222,276,317,511,1114,782,1280,428,382,292
73,382,377,227,291,308,511,1013,782,1165,455,382,292
74,390,358,231,273,323,491,1054,875,1200,428,378,295
75,382,377,227,291,323,511,1054,782,1165,455,382,292
76,363,385,213,276,314,511,1064,829,1188,423,398,297
77,363,385,213,291,314,511,1064,782,1165,455,382,292
78,356,388,219,288,307,496,1128,829,1165,460,371,280
79,363,385,213,291,307,511,1064,782,1165,455,382,292
80,356,388,200,291,323,511,1075,774,1247,469,386,289
81,363,385,213,291,307,511,1064,782,1165,455,382,292
82,374,373,215,276,317,516,1053,813,1165,464,398,300
83,363,385,213,291,317,511,1053,782,1165,455,382,292
84,352,385,215,297,329,501,1032,805,1153,423,390,286
85,363,385,213,297,329,511,1032,805,1165,423,390,292
86,359,377,211,294,346,496,1074,837,1212,436,378,283
87,363,385,213,297,329,511,1032,805,1165,423,390,292
88,374,377,219,306,342,516,1074,853,1235,428,402,277
89,363,385,213,297,329,511,1032,805,1165,423,390,292
90,370,381,198,294,326,496,1094,789,1188,428,406,300
91,363,381,198,297,326,511,1032,805,1188,423,390,292
92,374,373,192,291,319,506,1074,789,1248,432,382,292
93,374,381,192,297,319,511,1032,805,1188,423,390,292
94,355,392,184,297,319,516,1043,861,1200,423,390,271
95,374,381,192,297,319,511,1043,805,1188,423,390,292
96,359,369,186,306,335,511,1032,853,1224,406,390,280
97,374,381,192,297,319,511,1032,805,1188,423,390,292
98,359,392,196,285,316,511,1032,805,1224,411,402,277
99,359,381,192,285,316,511,1032,805,1188,411,390,292
100,344,369,198,288,319,527,1012,845,1260,390,390,292
101,359,381,192,288,316,511,1012,805,1188,390,390,292
102,370,366,184,276,332,496,1001,821,1212,386,378,280
103,370,366,184,276,332,511,1001,805,1188,386,390,292
104,366,351,188,268,329,516,1122,813,1280,398,406,283
105,370,366,184,276,332,511,1001,805,1188,386,390,292
106,377,373,177,284,332,506,1112,886,1224,386,398,277
107,370,366,184,276,332,511,1001,805,1188,386,390,292
108,366,347,173,273,325,491,1062,869,1188,390,417,283
109,366,347,173,276,325,511,1001,805,1188,386,390,292
110,362,337,175,262,332,501,1062,845,1280,375,409,292
111,366,347,173,276,332,511,1062,805,1188,386,390,292
112,373,351,172,260,329,522,1040,845,1272,375,398,289
113,366,347,173,260,332,511,1040,805,1188,375,390,292
114,359,347,161,267,332,506,1020,845,1248,360,394,277
115,366,347,173,267,332,511,1020,805,1188,360,390,292
116,377,351,166,275,342,516,1091,797,1280,349,394,280
117,366,347,173,267,332,511,1020,805,1188,360,390,292
118,366,344,165,259,335,501,1060,878,1176,342,409,283
119,366,347,173,267,335,511,1060,805,1188,360,390,292
120,377,344,175,259,345,501,1039,797,1236,345,378,297
121,366,347,173,259,335,511,1039,805,1188,345,390,292
122,362,351,177,246,352,511,1081,894,1280,349,417,283
123,366,347,173,259,335,511,1039,805,1188,345,390,292
124,359,347,173,265,349,522,1154,878,1280,331,386,289
125,366,347,173,259,335,511,1039,805,1188,345,390,292
126,362,330,163,262,342,527,1122,886,1176,356,390,274
127,366,347,173,259,342,511,1039,805,1188,345,390,292
128,348,340,165,249,359,496,1060,902,1188,342,390,297
129,366,347,173,259,359,511,1060,805,1188,345,390,292
130,370,337,175,246,373,506,1102,853,1212,342,386,277
131,366,347,173,259,373,511,1060,805,1188,345,390,292
132,370,351,177,249,377,496,1113,789,1176,345,409,274
133,366,351,177,259,377,496,1060,805,1176,345,390,274
134,351,344,175,267,377,486,1113,829,1212,338,398,263
135,366,351,177,259,377,496,1060,805,1176,345,390,274
136,370,361,166,259,388,481,1113,829,1247,321,386,271
137,366,351,177,259,377,496,1060,805,1176,345,390,274
138,370,354,171,244,396,481,1049,789,1188,352,409,277
139,366,351,177,244,377,496,1049,805,1176,352,390,274
140,366,344,171,249,373,476,1060,813,1224,338,382,255
141,366,344,171,244,373,496,1060,805,1224,352,390,274
142,359,351,161,234,362,501,1039,837,1280,356,382,260
143,359,344,171,234,362,496,1039,805,1224,356,390,274
144,348,351,170,222,377,486,1101,805,1236,341,409,269
145,359,344,171,234,377,496,1039,805,1224,356,390,274
146,369,344,173,234,365,481,1059,797,1211,366,398,282
147,369,344,173,234,365,481,1039,805,1211,356,390,282
148,380,354,163,227,358,457,1070,821,1280,363,378,271
149,369,354,173,234,358,481,1039,805,1211,356,390,282
150,373,358,163,234,362,462,1070,797,1280,359,382,263
151,369,354,173,234,362,481,1039,805,1211,356,390,282
152,355,365,171,227,362,491,1111,845,1280,349,386,280
153,369,354,173,234,362,481,1039,805,1211,356,390,282
154,351,343,175,236,376,467,1059,797,1199,345,394,271
155,351,343,175,234,376,467,1039,797,1199,356,394,271
156,337,347,164,225,387,457,1122,813,1235,338,406,274
157,351,343,175,234,387,467,1039,797,1199,356,394,271
158,358,354,180,232,384,457,1080,789,1280,338,390,279
159,351,343,175,234,387,467,1039,797,1199,356,394,271
160,337,350,170,225,391,471,1091,821,1280,331,406,279
161,351,343,175,234,387,467,1091,797,1199,356,394,271
162,340,333,171,234,387,481,1123,829,1211,356,402,257
163,340,343,175,234,387,467,1091,797,1199,356,394,271
164,347,350,170,227,384,462,1112,805,1223,363,402,266
165,340,343,175,234,384,467,1091,797,1199,356,394,271
166,347,347,180,229,380,448,1069,805,1223,331,402,257
167,347,347,180,229,380,467,1069,805,1223,331,402,271
168,330,347,169,220,383,457,1069,845,1280,321,390,274
169,330,347,180,229,383,467,1069,805,1223,331,402,271
170,323,354,180,234,372,471,1047,837,1280,324,410,263
171,330,347,180,234,383,467,1047,805,1223,324,402,271
172,313,350,171,229,372,467,1079,797,1223,324,402,260
173,313,350,171,234,372,467,1047,805,1223,324,402,260
174,304,336,175,220,391,457,1142,902,1260,324,398,258
175,313,350,171,234,391,467,1047,805,1223,324,402,260
176,323,347,175,227,387,467,1089,861,1280,331,394,250
177,313,350,171,234,387,467,1089,805,1223,324,402,260
178,316,361,159,241,394,471,1133,797,1280,331,394,242
179,313,350,171,234,387,467,1089,805,1223,324,402,260
180,307,350,171,227,379,453,1067,837,1211,321,410,252
181,307,350,171,227,379,467,1067,837,1211,321,410,260
182,316,343,171,225,394,462,1089,829,1187,302,426,260
183,307,350,171,227,379,462,1067,829,1187,321,426,260
184,313,336,171,234,390,443,1142,837,1270,298,448,265
185,307,350,171,227,390,462,1067,829,1187,321,426,260
186,292,340,163,229,410,476,1110,854,1222,298,430,247
187,307,350,171,227,390,462,1067,829,1187,321,426,260
188,316,343,168,213,379,476,1142,821,1210,330,448,265
189,316,350,171,227,379,462,1067,829,1187,321,426,260
190,307,350,176,231,371,439,1121,887,1199,314,430,245
191,316,350,176,227,371,462,1067,829,1187,321,426,260
192,319,336,171,218,364,462,1046,821,1234,298,435,247
193,319,336,171,218,364,462,1046,829,1187,298,426,260
194,323,326,176,216,371,467,1067,870,1210,298,418,247
195,319,336,171,218,364,462,1067,829,1187,298,426,260
196,310,336,161,216,353,471,1046,829,1175,283,448,252
197,310,336,161,216,353,471,1046,829,1175,283,448,252
198,300,323,164,209,360,476,1077,829,1234,269,443,237
199,300,336,161,216,353,471,1046,829,1175,283,448,252
200,303,340,156,220,349,466,1056,821,1245,283,456,240
201,300,336,161,216,353,471,1056,829,1175,283,448,252
202,291,319,156,211,342,471,1046,812,1163,281,434,242
203,291,319,156,211,342,471,1056,812,1163,281,434,242
204,294,329,159,201,366,476,1120,885,1245,267,430,235
205,291,319,156,211,342,471,1120,812,1163,281,434,242
206,277,329,151,213,339,452,1153,853,1221,281,425,235
207,291,319,156,211,339,471,1120,812,1163,281,434,242
208,286,310,145,211,345,485,1097,804,1186,278,421,240
209,286,319,156,211,339,471,1097,804,1163,278,421,242
210,286,329,153,196,352,471,1229,877,1279,286,417,245
211,286,319,156,211,339,471,1097,804,1163,278,421,242
212,286,303,151,207,356,457,1141,820,1175,275,451,225
213,286,319,156,211,356,471,1097,804,1175,278,421,242
214,283,316,161,213,363,476,1108,820,1198,269,425,237
215,286,319,156,211,356,471,1108,804,1175,278,421,242
216,280,329,161,211,366,457,1175,820,1186,264,417,228
217,286,319,156,211,366,471,1108,804,1175,278,421,242
218,277,316,157,203,392,466,1130,868,1280,275,451,230
219,286,319,156,211,366,471,1130,804,1175,278,421,242
220,277,316,151,205,374,452,1108,796,1163,261,434,242
221,277,316,151,205,374,452,1108,796,1163,261,434,242
222,263,310,156,207,381,448,1119,868,1279,253,425,225
223,277,316,151,205,381,452,1119,796,1163,261,434,242
224,283,304,156,193,396,448,1186,884,1280,269,447,235
225,277,316,151,205,381,452,1119,796,1163,261,434,242
226,285,300,144,207,408,452,1231,836,1244,261,425,225
227,277,316,151,205,381,452,1119,796,1163,261,434,242
228,277,326,144,209,377,466,1186,860,1209,261,425,247
229,277,316,151,205,377,452,1119,796,1163,261,434,242
230,266,323,150,193,389,461,1119,844,1233,261,460,245
231,277,316,151,205,377,452,1119,796,1163,261,434,242
232,269,300,156,203,377,430,1231,860,1233,258,455,245
233,277,316,151,205,377,452,1119,796,1163,261,434,242
234,271,310,142,207,404,466,1197,812,1175,261,434,247
235,277,316,151,205,377,452,1119,796,1163,261,434,242
236,285,319,156,203,400,448,1208,788,1163,248,429,242
237,277,316,151,205,377,452,1119,796,1163,261,434,242
238,263,319,151,195,370,461,1152,844,1280,243,464,240
239,277,316,151,205,370,452,1152,796,1163,261,434,242
240,280,300,156,197,388,466,1129,788,1151,253,429,235
241,280,316,151,197,370,466,1129,788,1163,253,429,235
242,269,323,147,197,385,466,1152,812,1221,246,442,221
243,280,316,151,197,370,466,1152,788,1163,253,429,235
244,285,323,153,189,388,452,1198,828,1186,253,429,235
245,280,316,151,197,388,466,1152,788,1163,253,429,235
246,271,313,154,183,412,466,1267,828,1256,256,451,235
247,280,316,151,197,388,466,1152,788,1163,253,429,235
248,277,323,144,185,380,475,1198,835,1221,261,451,237
249,280,316,151,197,380,466,1152,788,1163,253,429,235
250,277,304,153,203,380,457,1186,867,1163,243,455,223
251,280,316,151,197,380,466,1186,788,1163,253,429,235
252,285,319,145,203,377,443,1234,835,1175,235,451,237
253,280,319,151,197,377,466,1186,788,1175,253,429,235
254,271,326,150,193,384,447,1210,780,1245,251,438,237
255,280,319,151,197,384,466,1186,788,1175,253,429,235
256,271,313,145,195,388,457,1198,796,1151,246,442,230
257,271,313,145,197,388,457,1186,796,1151,253,442,230
258,269,300,144,195,396,447,1186,804,1151,243,456,226
259,269,300,144,197,396,457,1186,796,1151,253,442,230
260,263,303,144,191,404,434,1246,844,1140,243,460,237
261,269,300,144,197,404,457,1186,796,1140,253,442,230
262,261,294,135,197,392,466,1163,796,1197,261,433,221
263,261,294,135,197,392,457,1163,796,1140,261,442,230
264,258,291,136,203,380,434,1174,836,1185,258,433,235
265,261,291,136,197,380,457,1174,796,1140,261,442,230
266,266,280,136,187,368,470,1210,828,1151,266,438,223
267,261,291,136,197,368,457,1174,796,1140,261,442,230
268,258,289,138,195,380,466,1233,828,1162,256,429,237
269,261,291,136,197,380,457,1174,796,1140,261,442,230
270,258,291,135,201,383,434,1233,796,1219,253,438,235
271,261,291,136,197,383,457,1174,796,1140,261,442,230
272,258,300,132,203,383,443,1245,820,1151,245,447,237
273,261,291,136,197,383,457,1174,796,1140,261,442,230
274,253,300,128,187,379,452,1221,780,1185,258,456,216
275,261,291,136,197,379,457,1174,796,1140,261,442,230
276,266,300,131,203,379,443,1186,836,1162,256,438,233
277,261,291,136,197,379,457,1186,796,1140,261,442,230
278,255,289,132,199,391,434,1186,804,1162,269,438,233
279,261,289,132,197,391,457,1186,796,1162,261,442,230
280,253,297,128,189,407,434,1245,812,1232,261,429,233
281,261,289,132,197,391,457,1186,796,1162,261,442,230
282,255,291,134,201,379,461,1257,788,1151,253,433,228
283,261,291,134,197,379,461,1186,796,1151,261,442,228
284,253,277,136,189,394,447,1186,788,1231,258,429,219
285,261,291,134,189,379,461,1186,796,1151,258,442,228
286,255,280,138,177,368,466,1162,796,1151,256,438,232
287,261,280,138,177,379,466,1162,796,1151,256,438,232
288,255,277,136,181,372,461,1221,788,1208,258,451,239
289,255,280,138,177,372,466,1162,796,1151,256,438,232
290,258,271,142,176,383,466,1186,884,1231,238,442,232
291,258,280,138,177,383,466,1186,796,1151,256,438,232
292,263,291,136,176,406,475,1257,796,1128,250,438,239
293,258,280,138,177,383,466,1186,796,1151,256,438,232
294,261,288,136,181,406,480,1221,796,1128,258,429,228
295,261,280,138,177,383,480,1186,796,1151,256,438,228
296,271,288,138,177,394,475,1209,796,1174,258,433,223
297,261,280,138,177,383,480,1186,796,1151,256,438,228
298,263,271,142,181,375,494,1162,804,1185,263,455,223
299,261,280,138,181,383,480,1162,796,1151,263,438,228
300,263,274,132,181,402,489,1185,876,1174,269,438,214
301,261,280,138,181,402,480,1185,796,1151,263,438,228
302,250,280,135,176,414,456,1221,836,1128,261,442,219
303,261,280,135,181,414,480,1185,796,1128,263,438,228
304,263,274,128,168,422,470,1185,836,1162,263,442,216
305,261,280,135,181,422,480,1185,796,1128,263,438,228
306,253,269,128,177,414,489,1161,820,1105,245,455,226
307,261,269,128,177,414,489,1161,820,1105,245,455,226
308,261,271,128,181,434,489,1196,844,1105,240,446,219
309,261,269,128,177,414,489,1161,820,1105,245,455,226
310,263,258,128,181,414,480,1150,877,1127,245,455,232
311,261,269,128,177,414,489,1150,820,1105,245,455,226
312,274,277,128,177,426,465,1161,803,1183,252,464,230
313,261,269,128,177,414,489,1150,820,1105,245,455,226
314,266,274,128,181,405,470,1219,853,1160,237,455,217
315,261,269,128,177,405,489,1150,820,1105,245,455,226
316,255,263,128,174,418,465,1173,836,1094,247,460,230
317,261,263,128,177,418,489,1150,820,1094,245,455,226
318,261,266,128,181,447,465,1196,853,1171,250,474,221
319,261,263,128,177,418,489,1150,820,1094,245,455,226
320,271,266,128,177,434,484,1173,861,1138,235,460,217
321,261,263,128,177,418,489,1173,820,1094,245,455,226
322,247,266,130,168,405,504,1232,869,1116,230,478,228
323,261,263,128,177,405,489,1173,820,1094,245,455,226
324,253,266,128,179,397,465,1243,869,1160,228,464,223
325,261,263,128,177,397,489,1173,820,1094,245,455,226
326,253,276,128,174,401,504,1232,844,1149,230,469,226
327,261,263,128,177,397,489,1173,820,1094,245,455,226
328,255,263,128,177,425,494,1185,853,1171,240,455,223
329,261,263,128,177,397,489,1185,820,1094,245,455,226
330,255,263,128,177,409,465,1173,836,1083,233,464,219
331,261,263,128,177,409,465,1173,836,1083,233,464,219
332,253,276,128,176,405,446,1196,845,1116,219,455,225
333,261,276,128,177,405,465,1173,836,1083,233,464,219
334,250,279,129,181,397,446,1173,828,1094,228,455,219
335,261,279,129,181,397,446,1173,828,1094,228,455,219
336,274,288,128,177,405,460,1220,836,1138,212,446,219
337,261,279,129,181,397,446,1173,828,1094,228,455,219
338,255,271,128,185,401,442,1255,886,1116,228,442,206
339,261,279,129,181,401,446,1173,828,1094,228,455,219
340,266,293,131,181,417,455,1149,844,1138,223,464,212
341,261,279,129,181,401,446,1149,828,1094,223,455,219
342,271,274,129,177,413,451,1161,820,1116,217,473,212
343,261,279,129,181,401,446,1149,828,1094,223,455,219
344,274,276,128,181,413,442,1207,844,1105,210,455,217
345,261,279,129,181,413,446,1149,828,1094,223,455,219
346,266,276,133,181,433,442,1195,886,1072,230,446,214
347,261,279,129,181,433,446,1149,828,1094,223,455,219
348,263,265,128,177,455,442,1138,836,1116,212,469,225
349,261,279,129,177,433,446,1138,828,1094,212,455,219
350,247,279,130,181,446,428,1161,869,1105,214,469,210
351,261,279,129,177,446,446,1161,828,1094,212,455,219
