Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,12,12,12,15,14,99,83,82,12,35,74
10,12,12,12,12,12,12,12,22,81,23,97,17
11,61,12,12,13,12,12,12,40,105,12,12,24
12,12,12,12,12,12,12,12,12,12,12,12,12
13,60,21,12,12,19,56,12,12,12,12,12,12
14,12,30,13,12,29,12,30,105,31,12,62,103
15,12,12,12,12,72,25,103,48,105,12,46,12
16,12,23,12,61,41,23,62,105,20,13,49,12
17,12,12,79,12,12,12,12,12,12,72,12,12
18,24,29,17,44,35,43,12,63,51,38,83,67
19,12,12,12,12,12,33,12,28,94,16,73,102
20,12,12,12,12,12,38,12,20,63,12,100,105
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
