Hour,lum_sum[cd],Power[w]
9,5729,208
10,6082,217
11,2474,95
12,1536,65
13,5075,182
14,4572,167
15,5854,213
16,6311,226
17,6581,232
18,6202,222
19,5346,192
20,1536,65
21,1536,65
22,1536,65
