Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,494,463,265,458,379,129,1280,819,388,128,794,128
10,129,351,144,1280,128,131,128,267,1239,128,873,1280
11,128,794,351,128,174,129,128,128,128,128,128,128
12,128,128,128,128,128,128,128,128,128,128,128,128
13,128,128,143,128,138,382,128,398,1190,128,901,1279
14,128,252,403,1253,128,274,668,313,128,503,391,128
15,392,152,128,182,234,175,1280,804,1280,128,432,664
16,128,128,136,566,720,128,528,942,1240,291,349,1152
17,128,199,128,1280,364,252,638,523,1280,131,553,1101
18,128,281,133,1280,372,246,128,807,178,128,1266,1252
19,128,133,671,129,128,135,128,251,1206,129,1025,1279
20,128,128,128,128,128,128,128,128,128,128,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
