Hour,lum_sum[cd],Power[w]
9,4675,170
10,6319,228
11,6697,237
12,1536,65
13,6694,244
14,6571,234
15,6291,230
16,6344,228
17,5918,216
18,6298,225
19,5893,210
20,5028,181
21,1536,65
22,1536,65
