Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,386,301,237,502,355,232,516,449,337,432,519,392
10,357,378,419,438,473,481,463,553,646,447,560,602
11,441,445,446,480,543,505,551,615,686,485,587,589
12,109,118,121,113,130,122,113,128,127,106,125,117
13,424,443,389,459,491,405,477,565,711,434,562,684
14,419,386,358,457,463,391,542,664,700,460,622,681
15,419,440,393,528,616,483,597,636,648,511,606,561
16,440,366,320,579,486,371,502,738,685,432,694,702
17,374,313,283,476,388,319,460,541,655,436,542,608
18,408,314,272,535,407,315,455,592,718,421,584,699
19,388,296,268,500,373,304,342,487,625,340,593,704
20,170,198,259,187,253,307,286,477,628,308,587,700
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
