Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5572154,2796,5569358,12968825,2796,12966029,1198727,2796,1195931,14471093,2796,14468297,8551229,2796,8548433,13190629,2796,13187833,10974684,2796,10971888,42358749,2796,42355953,16832868,2796,16830072,9953501,2796,9950705,31240679,2796,31237883,18015773,2796,18012977
2,5438546,2872,5435673,12486201,2872,12483328,1058384,2872,1055512,13831607,2872,13828734,8195713,2872,8192840,12553307,2872,12550435,10592773,2872,10589900,40709527,2872,40706654,16287007,2872,16284134,9435351,2872,9432478,29987704,2872,29984831,17352897,2872,17350024
3,5438546,2872,5435673,12486201,2872,12483328,1058384,2872,1055512,13831607,2872,13828734,8195713,2872,8192840,12553307,2872,12550435,10592773,2872,10589900,40709527,2872,40706654,16287007,2872,16284134,9435351,2872,9432478,29987704,2872,29984831,17352897,2872,17350024
4,4853268,3034,4850234,11045144,3034,11042109,710306,3034,707272,12603108,3034,12600073,7131313,3034,7128278,11211107,3034,11208073,9596529,3034,9593495,37736895,3034,37733861,15295600,3034,15292565,8571965,3034,8568931,27888289,3034,27885254,16029653,3034,16026618
5,4853268,3034,4850234,11045144,3034,11042109,710306,3034,707272,12603108,3034,12600073,7131313,3034,7128278,11211107,3034,11208073,9596529,3034,9593495,37736895,3034,37733861,15295600,3034,15292565,8571965,3034,8568931,27888289,3034,27885254,16029653,3034,16026618
6,4651844,3111,4648733,10533735,3111,10530624,594158,3111,591047,12135972,3111,12132860,6760366,3111,6757255,10605553,3111,10602442,9232237,3111,9229126,36235850,3111,36232739,14705229,3111,14702118,8201801,3111,8198690,26771798,3111,26768687,15313989,3111,15310878
7,4651844,3111,4648733,10533735,3111,10530624,594158,3111,591047,12135972,3111,12132860,6760366,3111,6757255,10605553,3111,10602442,9232237,3111,9229126,36235850,3111,36232739,14705229,3111,14702118,8201801,3111,8198690,26771798,3111,26768687,15313989,3111,15310878
8,4479598,3218,4476379,10024249,3218,10021031,452028,3218,448809,11609952,3218,11606734,6370859,3218,6367640,9890158,3218,9886939,8860213,3218,8856994,34581155,3218,34577937,14080174,3218,14076955,7735971,3218,7732752,25468106,3218,25464888,14502258,3218,14499039
9,4479598,3218,4476379,10024249,3218,10021031,452028,3218,448809,11609952,3218,11606734,6370859,3218,6367640,9890158,3218,9886939,8860213,3218,8856994,34581155,3218,34577937,14080174,3218,14076955,7735971,3218,7732752,25468106,3218,25464888,14502258,3218,14499039
10,3956843,3432,3953410,8626222,3432,8622789,179392,3432,175959,10144714,3432,10141281,5388407,3432,5384974,8389316,3432,8385883,7856450,3432,7853017,31052200,3432,31048767,13030759,3432,13027326,6663570,3432,6660137,23012483,3432,23009050,12958675,3432,12955242
11,3956843,3432,3953410,8626222,3432,8622789,179392,3432,175959,10144714,3432,10141281,5388407,3432,5384974,8389316,3432,8385883,7856450,3432,7853017,31052200,3432,31048767,13030759,3432,13027326,6663570,3432,6660137,23012483,3432,23009050,12958675,3432,12955242
12,3595521,3574,3591947,7860103,3574,7856529,103110,3574,99536,9327499,3574,9323925,4874818,3574,4871243,7661611,3574,7658037,7132889,3574,7129315,28833269,3574,28829695,12245737,3574,12242162,6030729,3574,6027155,21323810,3574,21320236,11942861,3574,11939287
13,3595521,3574,3591947,7860103,3574,7856529,103110,3574,99536,9327499,3574,9323925,4874818,3574,4871243,7661611,3574,7658037,7132889,3574,7129315,28833269,3574,28829695,12245737,3574,12242162,6030729,3574,6027155,21323810,3574,21320236,11942861,3574,11939287
14,3237757,3733,3234024,6880947,3733,6877214,11882,3733,8148,8355833,3733,8352099,4253556,3733,4249822,6548102,3733,6544369,6501753,3733,6498020,26461172,3733,26457439,11494580,3733,11490847,5508797,3733,5505064,19780706,3733,19776973,10984235,3733,10980502
15,3237757,3733,3234024,6880947,3733,6877214,11882,3733,8148,8355833,3733,8352099,4253556,3733,4249822,6548102,3733,6544369,6501753,3733,6498020,26461172,3733,26457439,11494580,3733,11490847,5508797,3733,5505064,19780706,3733,19776973,10984235,3733,10980502
16,2759291,3967,2755324,5732752,3967,5728785,3967,3967,0,7249574,3967,7245607,3557191,3967,3553223,5146110,3967,5142143,5606619,3967,5602652,22960546,3967,22956579,10195722,3967,10191755,4775524,3967,4771557,17296108,3967,17292140,9325044,3967,9321077
17,2759291,3967,2755324,5732752,3967,5728785,3967,3967,0,7249574,3967,7245607,3557191,3967,3553223,5146110,3967,5142143,5606619,3967,5602652,22960546,3967,22956579,10195722,3967,10191755,4775524,3967,4771557,17296108,3967,17292140,9325044,3967,9321077
18,2382471,4194,2378277,4809625,4194,4805431,4194,4194,0,6004568,4194,6000374,3001479,4194,2997285,4095736,4194,4091542,4765089,4194,4760895,19766384,4194,19762190,9141051,4194,9136857,3829249,4194,3825055,14927209,4194,14923015,7852440,4194,7848246
19,2389041,4184,2384856,4829046,4184,4824861,4184,4184,0,6021462,4184,6017277,3012829,4184,3008645,4116132,4184,4111947,4776386,4184,4772201,19799347,4184,19795162,9148975,4184,9144790,3834873,4184,3830688,14944759,4184,14940574,7863762,4184,7859578
20,2062422,4429,2057992,4241103,4429,4236673,562733,4429,558304,4753368,4429,4748938,2984948,4429,2980518,3368281,4429,3363851,3833561,4429,3829131,17379702,4429,17375273,8745304,4429,8740874,3185506,4429,3181076,13259409,4429,13254980,6923538,4429,6919109
21,2062422,4429,2057992,4241103,4429,4236673,562733,4429,558304,4753368,4429,4748938,2984948,4429,2980518,3368281,4429,3363851,3833561,4429,3829131,17379702,4429,17375273,8745304,4429,8740874,3185506,4429,3181076,13259409,4429,13254980,6923538,4429,6919109
22,1783007,4670,1778337,3778405,4670,3773735,975399,4670,970729,3822447,4670,3817777,2926243,4670,2921573,2789941,4670,2785271,3052707,4670,3048037,14898592,4670,14893922,8004662,4670,7999992,2572815,4670,2568145,11420758,4670,11416088,5796934,4670,5792264
23,1782057,4663,1777394,3763760,4663,3759096,956132,4663,951469,3830720,4663,3826056,2903183,4663,2898519,2784569,4663,2779905,3058632,4663,3053969,14915596,4663,14910933,7999018,4663,7994355,2575831,4663,2571168,11430612,4663,11425948,5803149,4663,5798485
24,1674134,4847,1669287,3571404,4847,3566556,1225070,4847,1220222,3004267,4847,2999420,2917274,4847,2912426,2206072,4847,2201225,2572194,4847,2567346,12496460,4847,12491612,7174761,4847,7169913,1933416,4847,1928569,9449253,4847,9444405,4691904,4847,4687056
25,1689592,4839,1684753,3634687,4839,3629848,1137319,4839,1132480,3120780,4839,3115940,2919696,4839,2914856,2302967,4839,2298128,2653263,4839,2648424,12680773,4839,12675934,7159093,4839,7154254,1960074,4839,1955235,9530150,4839,9525311,4735260,4839,4730421
26,1611304,5075,1606228,3597080,5075,3592005,1791029,5075,1785953,2165165,5075,2160089,3262587,5075,3257512,2028919,5075,2023844,2279088,5075,2274013,11154225,5075,11149149,6822594,5075,6817519,1482813,5075,1477738,8287188,5075,8282112,3940176,5075,3935100
27,1603699,5039,1598660,3539052,5039,3534012,1569926,5039,1564886,2304065,5039,2299025,3106488,5039,3101448,2063465,5039,2058426,2375087,5039,2370047,11378835,5039,11373796,6755251,5039,6750212,1513317,5039,1508278,8393803,5039,8388764,4003075,5039,3998035
28,1602288,5318,1596969,3702321,5318,3697002,2264871,5318,2259552,1715113,5318,1709794,3589933,5318,3584615,1781524,5318,1776206,2035625,5318,2030306,9080517,5318,9075199,5877443,5318,5872124,1157629,5318,1152310,6629517,5318,6624198,2888775,5318,2883457
29,1518025,5277,1512748,3569475,5277,3564198,1952294,5277,1947016,1800562,5277,1795285,3319180,5277,3313902,1727953,5277,1722675,2112222,5277,2106945,9181686,5277,9176409,5809035,5277,5803758,1168973,5277,1163695,6664657,5277,6659380,2909470,5277,2904193
30,1420948,5598,1415349,3699089,5598,3693490,2616470,5598,2610871,1081382,5598,1075783,3725117,5598,3719519,1593400,5598,1587802,1819349,5598,1813751,7187310,5598,7181711,5048121,5598,5042523,859797,5598,854199,5090439,5598,5084840,1947061,5598,1941463
31,1402563,5590,1396973,3668864,5590,3663274,2518030,5590,2512440,1121395,5590,1115805,3662249,5590,3656659,1596964,5590,1591374,1849271,5590,1843680,7239862,5590,7234271,5013946,5590,5008355,864980,5590,859389,5111009,5590,5105419,1957945,5590,1952354
